Name,Summary,speed,driver,racers,drivers,driving,tracks,car,race,cars,racing
Need for Speed: Most Wanted (2012),"
to be most wanted, you’ll need to outrun the cops,  outdrive your  friends, and outsmart your rivals. with a relentless  police force  gunning to take you down, you’ll need to make split-second  decisions.  use the open world to your advantage to find hiding spots,  hit jumps and  earn new vehicles to keep you one step ahead. in true  criterion games  fashion, an enhanced autolog puts your friends at the  heart of your  experience. in an open world with no menus or lobbies,  you’ll be able to  instantly challenge your friends and prove your  driving skill in a  variety of seamless multiplayer events. your rivals  will do everything  they can to stop you from getting to the top. in  this world, there can  only be one most wanted.
source: publisher
 ",0,0,0,0,1,0,0,0,0,0
NASCAR 98,"nascar 98 is a stock car racing game, developed by stormfront studios and published by ea sports,  which was released in 1997. ",0,0,0,0,0,0,1,0,0,1
F1 Race,"f1 race is a formula one racing game, developed and published by nintendo,  which was released in japan in 1984. ",0,0,0,0,0,0,0,1,0,1
NASCAR 99,"nascar 99 is a stock car racing game, developed by stormfront studios and published by ea sports,  which was released in 1998. ",0,0,0,0,0,0,1,0,0,1
Forza Motorsport 7,"forza motorsport 7 immerses players in the exhilarating thrill of competitive racing. from mastering the new motorsport-inspired campaign to collecting a wide range of cars to experiencing the excitement of driving at the limit, this is forza reimagined.
source: official website ",0,0,0,0,1,0,0,0,1,0
Sonic Rivals 2,"the sequel to sonic’s fast and furious 3d action platformer, has several new features to enhance the player’s experience. a revamped rival “jostling” gameplay system allows for closer head-to-head competition, whilst rivalry is further improved with upgraded power-ups and range weapons allowing players to attack or defend themselves regardless of their position. a brand new battle mode allows two players to jump into six different multiplayer challenges by sharing just one disc using the psp system’s wi-fi function.miles “tails” prower and other new characters have been added to the mix of characters available to play as, whilst the new single player free play mode will allow players to enjoy each level at their own pace. each character in the game will also have their own unique signature moves that fit their varied personalities.card trading and collection in sonic rivals 2 has been greatly increased and will now include 150 collectable cards. this will enable players to customise character’s track suits, as well as unlocking new psp backgrounds and cup circuits. ",0,0,0,0,0,0,0,0,0,0
Tokyo Xtreme Racer Zero,"the streets of tokyo are known for world-class sports car races... you just haven't heard much about these races because they're not legal. made infamous in midnight club, the unlawful nighttime highway drags are on the run again in tokyo extreme racer zero. you're looking at a faithful recreation of the pastime--from the 60 realistic japanese sports cars to the incredible graphic sheen kicked out by the playstation 2, tokyo extreme racer zero is frighteningly realistic and unsafe at any speed. the heart of this game is in the car mod options--you'd better customize your car to top performance if you're expecting to beat out the sharks on these roads. cruise the highways of japan looking for racers, then gun the engine and out-pace them while weaving in and out of speeding traffic. if you can't handle it, drive in the daytime and leave the night to the real cruisers.
us.playstation.com ",0,0,0,0,0,0,3,0,1,0
Forza Horizon 2,"race through a massive wide-open world featuring dramatic weather and  day to night cycles. instantly connect with friends in the ultimate  celebration of speed, style, and action-packed driving. explore  beautiful and exotic locations in more than 200 of the world’s greatest  cars, all created with precise detail in 1080p.
source: forzamotorsport.net ",0,0,0,0,0,0,0,1,0,0
Sonic & SEGA All-Stars Racing,"in a frantic battle to the checkered flag, sonic and friends speed around tracks set in medieval castle ramparts, lush rainforests and bustling cities, all taken from the visually rich and varied universes of sonic and sega. fan favorites such as dr. eggman, tails, aiai, amigo and many more will join sonic in their custom built vehicles, revving their engines and jostling to stay ahead of the pack. each character will speed around the track in cars, planes, motorbikes, and in aiai’s case – a banana mobile! secret short cuts, swift handling and avoiding strategically placed obstacles are certainly the best way to get to the top of the podium.
 
but winning is only part of the fun in sonic & sega all-stars racing! each character has a specific all star move – such as super sonic, banana blitz and tails tornado – that allows a quick way for competitors to get back into the race! power ups and weapons can also be collected around the tracks and used against the opposition to ensure they don’t become a threat to that number one position.
 
battle it out in single or multiplayer mode, allowing up to four friends to race in frantic split-screen action, or up to eight players to compete online in the ultimate racing showdown.
 
can amigo scramble eggman? will aiai say bye-bye to tails? are you gonna be faster than sonic? the race will start in 2010…
-sega.com ",2,0,0,0,0,2,0,2,0,1
Sonic Rivals,"what starts as a friendly competition between sonic and knuckles quickly intensifies as shadow and other rivals jump into the action. sonic rivals allows gamers to utilize boost moves and power-ups to trip, shove, and vault over each other while hurtling towards the finish line at breakneck speeds. players will negotiate wildly twisting 3d tracks while avoiding the insidious dr. eggman and his myriad of hazardous traps and contraptions.
in sonic rivals, gamers can play as one of four different characters from the sonic universe, each with separate fast and winding storylines. in addition, the extensive rewards system, which is based on collecting trading cards, allows players to customize their favorite characters. connect via wireless to race against a friend, and put trading cards on the line for even more multiplayer challenges. ",0,0,0,0,0,1,0,1,0,0
Kinect Joy Ride,"kinect joy ride takes you and your friends on the ride of your lives -- no drivers license required. kinect joy ride reinvents driving and kart racing by adding massive jumps and full body stunts to the classic kart racing action. with a host of cool features and game modes you can take off for the ride of your life by yourself, pick up a co-pilot or team up with your friends and family to take on the world. ",0,0,0,1,1,0,0,0,0,2
Ridge Racer,"tunes on. nitrous on. game on.
after 10 years of drift racing supremacy, ridge racer's genre-dominating graphics and legendary gameplay hit the hottest new handheld entertainment system. crank the soundtrack as you speed through all-new, nitrous-infused modes including wireless battle and a challenging world tour.
race 54 new machines across 24 challenging courses, including 4 original tracks and classic courses from previous ridge racer™ games. the rubber meets the road like never before in the most in-depth racer ever created for a handheld system. 
challenge up to 8 players in intense multiplayer races via the psp™ handheld system's easy-setup wireless connectivity feature. (ridge racer™ umd required for each player.) 
experience glorious ultra-realistic 3d visuals brought to you on the psp™ handheld system's dazzling widescreen lcd. 
unlock cars, tracks and bonuses in the all-new world tour mode, including the max tour: 7 ferociously difficult tours designed for the serious speed demon. 
race to a pulse-pounding soundtrack featuring brand-new tracks and remixes of classic ridge racer™ tunes. 
punch the nitrous for the first time ever in ridge racer™. drift to fill your nitrous gauge, then hit it and leave your opponents fading in the rear view.
- from namco and game back cover. ",2,0,0,0,0,3,0,2,0,1
Twisted Metal: Black,"          they say the mind bends and twists to deal with the horrors of life...sometimes the mind bends so much it snaps in two. prepare for the next chapter in car combat. designed and developed by the makers of twisted metal and twisted metal 2, twisted metal: black sends players on a deranged journey through a world rife with horror and desolation. the infamous calypso returns to host the ultimate contest of wreckage and devastation. calypso has plucked a motley crew of contestants straight from the lunatic asylum, promising these otherwise doomed souls a chance to have one wish granted, should they emerge victorious in a deadly battle of twisted metal. as the carnage unfolds, so does the horrifying tale behind each of these tortured souls. discover why these manic motorists were locked up. slip into their minds, take a walk around their mental anguish, and come out screaming for more! key features:  quality gameplay from the creators of the original twisted metal and twisted metal 2 games best-selling car combat franchise, with 5.1 million units sold in north america  tons of weapons and combo attacks make for more creative kills more skill required than ever before--master the depth of each weapon for more strategic kills...then rejoice in victory! enhanced player environments with moving traffic, changing weather, living pedestrians, and interactive objects for a highly charged, living world of destruction improved vehicle physics for dramatic jump and landing physics, more exaggerated powerslides, more responsive turn rates, etc. 20 death-match battlegrounds (the heart and soul of twisted metal)  9 vicious battlegrounds for the single player to tear up 14 diabolically inventive vehicles intriguing characters who define the morbid universe added replay value: pure death match, endurance, and co-op modes multiple camera views capture the devastation: close, mid and distant chase camera views, plus a single-player split-screen rear view to fend off attacks from behind 60-frames-per-second speed, including multi-player levels control precision that has been perfected, with analog control on the d-padsource - www.us.playstation.com ",0,0,0,0,0,0,2,0,0,0
NASCAR 2005: Chase for the Cup,"nascar 2005: chase for the cup challenges you to battle through a groundbreaking new story mode to achieve nascar stardom. start from humble beginnings by earning nascar busch, craftsman truck and featherlite modified series rides before grabbing million-dollar purses in the nextel cup series. develop your racing skills and intimidate your rivals on the track with all-new controls. off the track, force the action with post-race confrontations, and settle disputes by racing america’s top production cars through city streets. fans react to the drama, idolizing both nascar heroes and villains, while owners and sponsors recognize talent and reward success. it's up to you to show 'em what you've got.
[electronic arts] ",0,0,0,0,0,0,0,0,1,2
Need for Speed: Undercover,"the chase is on! need for speed undercover has players racing down highways, evading cops and hunting down rivals as they go deep undercover to take down an international crime syndicate. the new game heralds the return of high-intensity police chases and introduces the all-new 'heroic driving engine' - a unique technology that generates incredible high-performance moves at 180 miles per hour.
need for speed undercover also utilizes hollywood style filming and production techniques as well as the acting talent of maggie q and christina milian to create a rich, cinematic experience.
this stunning mix of gameplay and live-action movies will immerse gamers in the world of the tri-city bay area. the city's open-world environment features over 80 miles of roads, including an enormous highway system that sets the stage for heart-pounding highway battles. these high-speed, high-stake chase sequences will push players to the limit as they fight off cops and opponents.
an intelligent new a.i. mechanic delivers a realistic and high-energy action driving experience. going back to the franchise's roots, need for speed undercover features more aggressive and intelligent cops whose sole purpose is to take down the player quickly and by any means necessary.
key features

go deep undercover - race into an action-packed story of pursuit and betrayal. take on jobs and compete in races to prove yourself as you infiltrate and take down an international crime syndicate.
heroic driving engine - an all-new game engine featuring cutting-edge physics and improved ai designed to push players and the cars to limits with adrenaline filled action driving maneuvers.
highway battle - fight off the cops and others as you take down your prey in high-speed, high stake multi-car chases. new and vastly improved ai mechanics mean more aggressive and intelligent cops focused on taking you out fast and by any means necessary.
own the open world - tear across the massive highway system and discover the open world of the gulf coast tri-cities area, with three unique cities connected by an extensive highway system.
photo real cars and performance – over 55 licensed cars are available featuring performance tuning that enables the player to dynamically adjust the vehicles to create the vehicles that can accommodate all action driving scenarios. some of the cars include the mercedes-benz sl65 amg, audi r8, porsche 911 gt2 and the all-new 2009 nissan 370z.
 ",3,0,0,0,5,0,0,1,4,1
Gran Turismo 4 Prologue, ,0,0,0,0,0,0,0,0,0,0
Colin McRae Rally 3,"live the life of a rally driver and prove your skills around the world. as part of the ford rally sport team, you'll have access to authentic high-performance rally cars, including mitsubishi lancer evo 7, subaru impreza wrx, citroen saxo kit car, and ford focus rs wrc. it's a race against the clock through 56 stages from the united kingdom to the united states. if you damage your car or the landscape, the path to the finish line will be a shaky one.
www.us.playstation.com ",0,1,0,0,0,0,1,1,0,0
Ridge Racer 7,"drift racing at its best: ridge racer 7 includes a total of 40 machines and 22 exhilarating courses filled with nitrous filled straight-aways and hairpin turns. with reversed courses, the total grows to 44, most in the series ever!
customize your ultimate machine: the brand new machine customization mode gives the player the power to make the perfect machine in up to 380,000 different ways. from visual touches to performance related specifications, any racing style can be brought to life for the most hardcore or casual gamer.
race your way to the top: in the new career mode, build yourself up to become the best ridge racer. the player will be tested to the limit, building a career from the ground up in over 160 races.
online play: in addition to the single player modes, ridge racer 7 will be compatible with sony's new online service for heated races with up to 14 players. players will be able to bring their customized machine online to challenge other players to prove who is the ultimate ridge racer. 
http://www.namcobandaigames.com/games/ridgeracer7/ ",0,0,0,0,0,0,0,1,0,2
Need for Speed: The Run," 

the race of your life
it’s called the run. an illicit, high-stakes race across the country.  the only way to get your life back is to be the first from san  francisco to new york.
no speed limits. no rules. no allies. all you have are your driving  skills and sheer determination as you battle hundreds of the world’s  most notorious drivers on the country’s most dangerous roads.
in need for speed the run, you’ll weave through dense urban centers,  rocket down icy mountain passes and navigate narrow canyons at breakneck  speeds, all the while evading a relentless police force prepared – and  willing – to use lethal force to take you down.
 
ea games
 ",2,0,0,1,1,0,0,2,0,0
Burnout Paradise,"spectacular bone-crushing crashes and an unparalleled sense of speed will always be a hallmark of burnout games but burnout paradise ups the ante with an all new game design that expands the experience into a deeper, ever more immersive driving dream. some of the key features that set burnout paradise apart include:

true open world freedom - the entire city will be available from the outset, giving players the freedom to explore this immersive world known as paradise city. experience open world driving burnout style as the action begins with you, but it doesn’t have to end.
easydrive online social gaming - see your friends online with the easydrive friends list and connect with them instantly without having to wait or exit your game. burnout paradise is revolutionising the way players jump on and offline, making it as simple and quick as possible.
single-player events - choose from race, marked man, road rage, and stunt by pulling up to the numerous stoplights in the game to initiate the event. the action isn’t forced any longer, as players have the freedom to start and even end a challenge at their leisure.

source - www.electronicarts.co.uk (publisher) ",1,0,0,0,2,0,0,0,0,0
Kirby Air Ride,prepare for fast and furious racing action as kirby hits warpstar speed! use ultra simple controls to race and battle your pals in one of the 3 hectic game modes! copy ablities and ride wild machines in air ride's action packed 3-d races!power up in city trail mode then duke it out in one of the many stadiums!source: *back of the box* ,0,0,0,0,0,0,0,1,0,1
The Simpsons: Hit & Run,"something’s amiss in springfield! townspeople are disappearing, menacing black vans and video cameras are everywhere, and crop circles keep, well, cropping up. as your favourite simpsons character, unravel the plot that threatens the town through challenging levels and 56 missions. with over 5000 lines of authentic cast dialog and hours of original music, plus gags and surprises around every corner, the simpsons hit and run takes you deeper into the simpsons world than you ever imagined you’d go.
radical entertainment ",0,0,0,0,0,0,0,0,0,0
Test Drive,"test drive continues the successful formula of the test drive series with players racing some of the world’s most sought-after licensed vehicles in exotic real-world locations. whether a player is looking for the prestige and strength of an exotic sports car or the raw power and rugged good looks of an american muscle car, the game will offer something for every taste.  the fast-paced hollywood-style racing action in test drive will find players blowing through crowded city streets with the cops on their tail as pedestrians flee and cross traffic comes at them from every which way.  

with a brand new, built-from-scratch graphics engine designed to take advantage of the playstation2 technology, the game will utilize numerous cutting edge graphics techniques that maximize visual realism.  some of the techniques utilized in the game include anti-aliasing, mip-mapping, real-time lighting and multi-level reflection mapping.  with these technologies implemented, players will experience real-time shadows and lighting on cars, throughout the game’s environments, including on cars and people. ",0,0,0,0,0,0,1,0,1,2
F1 2010,"immerse yourself in the glamour, pressure and exhilaration of the world’s most exciting motorsport as f1 2010™ roars onto the track complete with all the official drivers, teams and circuits set to feature in the highly anticipated 2010 fia formula one world championship™.
compete against formula 1 drivers’ world champions™ like jenson button, michael schumacher, lewis hamilton, and fernando alonso and take on the full 2010 circuit line up featuring the return of the formula 1 canadian grand prix, singapore’s dramatic night race realised in glorious high-definition for the first time and debut ahead of the drivers on the all-new korean circuit.
powered by codemasters’ ego game technology platform, the world of formula one comes to life with jaw-dropping visuals, authentic handling, dynamic weather and class-leading damage in a range of game modes including quick race, career mode and online multiplayer.
f1 2010 will take you to the heart of formula one like never before
-codemasters.com ",0,0,0,1,0,0,0,1,0,0
Need for Speed Carbon,"the battle for the city is won in the canyon as need for speed™ carbon immerses you in the world's most dangerous and adrenaline-filled form of street racing.  for the first time in a need for speed game, build a crew and race in an all-out war for your city against rival crews and opposing car classes. you'll risk everything to take over rival neighbourhoods one street at a time.  each crew member has unique skills that you trigger during races to give you the winning edge over opponents. call on a blocker to create a distraction and slow down other racers or a scout to lead you to shortcuts on the track.  as the police turn up the heat and force the races to the outskirts of the city, the battle ultimately shifts to carbon canyon, where territories and reputations can be lost on every perilous curve.  use your creativity to design your crew's cars with the revolutionary new autosculpt™ car customisation tool that gives you the power to turn every vehicle into the car you've always wanted.  represent your car class, your crew, and your streets in need for speed carbon, the next revolution in racing games
electronic arts uk ",2,0,1,0,0,0,4,1,1,1
Corvette,this is the only game that lets you race virtually every corvette made in street and track settings.  get behind the wheel of over 80 different corvettes and experience the thrill of driving a true racing machine. ,0,0,0,0,1,0,0,1,0,1
Need for Speed Underground Rivals," hit the neon streets of need for speed™ underground rivals in pursuit of total ownership of the tuner racing scene. in this first-ever need for speed title for the psp™ handheld entertainment system, customise and build the ultimate tuner on four rims then take it into the underground world of street racing. with tons of tuning options, a variety of game modes, and the circuit’s most sought-after cars, need for speed underground rivals delivers an unrivalled tuner experience… in the palm of your hand.
 
source - www.elecrtonicarts.co.uk (publisher) ",2,0,0,0,0,0,0,0,0,1
TOCA 2 Touring Car Championship, ,0,0,0,0,0,0,0,0,0,0
TNN Motor Sports Hardcore 4x4,"it's dirty and dangerous... ...opponents don't care how they force you off... ...the adrenalin pumps as you battle against six of the dirtiest off-road terrains... the soundtrack thumps as you sweat and slide through impossible turns and axle-busting drops... only extreme skill and concentration can keep you in the game now... ...because you're having the toughest, dirtiest experience of your life.
~ gremlin interactive ltd.  ",0,0,0,0,0,0,0,0,0,0
IHRA Drag Racing 2,"ihra drag racing 2 features some of the world's best-known                              drag racing stars racing in today's hottest cars on                              1/4 and 1/8-mile tracks. whether you're new to drag                              racing or a lifelong fan, ihra drag racing 2 is one                              game you can't live without.

 experience day and night racing with fully detailed                                  weather and atmospheric dynamics  
choose from 50 vehicles, including classics and                                  late models  
features top cars and drivers from top fuel, pro                                  mod, pro stock, and funny car  
customize 70 vehicle components, from tires to transmissions                                  to electronics

 
source - www.bethsoft.com (publisher)
 
  ",0,0,0,1,0,0,1,0,2,6
Burnout 3: Takedown,"

grab the wheel and hold on as you battle and takedown the competition with the most spectacular crashes this side of hollywood. seatbelts not included.  burnout 3 rewrites the rules of the road and is now driven by a new mantra: aggressive racing required. racing gamers and adrenaline junkies are invited to get behind the wheel and experience unprecedented speed and action. use your car as a weapon and battle your way to the front of the pack by taking down rivals and causing spectacular crashes. vie for first place or indulge your thirst for twisted metal and breathtaking crashes. live dangerously with a dedicated crash mode that rewards you for creating the most massive pile-ups ever seen in a videogame. with category defining visuals, addictive multiplayer gameplay, and over 100 events spanning 40 tracks, burnout 3 is a breakneck, adrenaline-fuelled, awe-inspiring racing experience.


 
 
source - www.electronicarts.co.uk (publisher) ",1,0,0,0,0,0,1,0,0,3
Test Drive 5,"the clash of beauty vs. beast continues in the next installment of the test drive series.  test drive 5 pushes driving to new limits by adding high resolution graphics, branching roads, shortcuts, and photorealistic graphics featuring multi-dynamic environment mapping.  three new difficulty levels, customizable vehicles, real-world tracks, multiplayer gameplay, cop chases, realistic weather effects, breakable roadside objects, and the addition of an arcade and simulation mode provide a deep racing game experience. ",0,0,0,0,1,0,0,0,0,1
Midnight Club 3: DUB Edition (America weekly sales),"rockstar games has joined forces with dub magazine, the authoritative source on automotive lifestyles, to redefine the racing genre once again with midnight club 3: dub edition. the series that took racing from tracks to the open urban streets is back, and the stakes are even higher. midnight club 3: dub edition delivers insanely fast, open city racing in atlanta, san diego, and detroit, complete with 8-player online competition and the most comprehensive vehicle customization ever seen in a video game. drive the hottest licensed real life suvs, import tuners, muscle cars, choppers and luxury rides, and trick them out with the latest rims, trims, and upgrades just like in the pages of dub. midnight club 3: dub edition has more speed, more choices, and more chrome than any game has ever packed under the hood.
take 2 ",0,0,0,0,0,1,0,0,0,3
Project CARS, ,0,0,0,0,0,0,0,0,0,0
Need for Speed Carbon,"the battle for the city is won in the canyon as need for speed™ carbon immerses you in the world's most dangerous and adrenaline-filled form of street racing.  for the first time in a need for speed game, build a crew and race in an all-out war for your city against rival crews and opposing car classes. you'll risk everything to take over rival neighbourhoods one street at a time.  each crew member has unique skills that you trigger during races to give you the winning edge over opponents. call on a blocker to create a distraction and slow down other racers or a scout to lead you to shortcuts on the track.  as the police turn up the heat and force the races to the outskirts of the city, the battle ultimately shifts to carbon canyon, where territories and reputations can be lost on every perilous curve.  use your creativity to design your crew's cars with the revolutionary new autosculpt™ car customisation tool that gives you the power to turn every vehicle into the car you've always wanted.  represent your car class, your crew, and your streets in need for speed carbon, the next revolution in racing games
electronic arts uk ",2,0,1,0,0,0,4,1,1,1
Twisted Metal 4, ,0,0,0,0,0,0,0,0,0,0
Road Rash,"no speed limit? no rules? no problem!
- blow 14 opponents off the backroads of california in the most illegal, unofficial and dangerous race there is.- kick and punch your opponents outta the way at 150 mph. snatch a club - if you wanna do some real damage.-  avoid cows, road blocks, oil spills and oncoming traffic! finish the  race to take home cash or look for a police escort to your favorite  jail.- the roads get tougher and your opponents get meaner with each new level - so get used to the abuse.- eight bikes are up for grabs - if you have the cash!
*back cover* ",1,0,0,0,0,0,0,2,0,0
Need for Speed Rivals,"welcome to redview county, where a street-racing rivalry between cops  and racers never stops as both sides compete in an all-out war featuring  the fastest cars, mods and technology in a stunning open-world  environment. play as either a cop or racer, where each side of the law  has its own set of high stakes challenges, rewards and consequences.  risk everything in the ultimate high stakes rivalry.
ea.com ",0,0,1,0,0,0,0,0,0,0
Need for Speed: Most Wanted,"wake up to the smell of burnt asphalt as the thrill of illicit street racing permeates the air. from the makers of the hit need for speed™ underground series that has sold more than 15 million copies worldwide, need for speed™ most wanted challenges players to become the most notorious and elusive street racer.   combining illicit street racing and tuner customisation with the intensity of strategic police pursuit that surpasses any hollywood-style chase scene, need for speed most wanted will be on every gamer’s ‘must-have’ list this holiday season. out-race rivals, evade cops and exploit hundreds of miles of open road as gamers make their way up the blacklist.   to become the most wanted racer, players must build up their street cred and rap sheet with gripping, white knuckle, head-to-head races with the top drivers on the streets, as well as pull daring, evasive moves to out-run and out-fox the cops that patrol the open road. players can manage their heat or utilise a number of strategic tactics to keep the cops off their tails as they leave their rivals behind to suck their exhaust fumes.   need for speed most wanted also features a variety of the hottest cars that range from tuners and super cars to muscles and sports cars. you can tune your ride to race against any class of vehicles. the streets will be your playground this fall.
electronic arts uk ",2,0,0,1,0,0,0,1,2,2
Cars 2,"from the makers of toy story 3: the videogame    comes cars 2: the video game, where players can jump into the cars 2    universe with some of their favorite cars personalities in locations    around the globe.  train to become an agent of c.h.r.o.m.e. (command    headquarters for recon operations & motorized espionage) and take on    dangerous missions, compete to become the fastest racecar in the   world,  or use your spy skills in exciting, action-packed combat racing!
(disney interactive studios) ",0,0,0,0,0,0,0,0,3,0
Road Rash 3D, ,0,0,0,0,0,0,0,0,0,0
Ridge Racer V, ,0,0,0,0,0,0,0,0,0,0
Need for Speed Carbon,"the battle for the city is won in the canyon as need for speed™ carbon immerses you in the world's most dangerous and adrenaline-filled form of street racing.  for the first time in a need for speed game, build a crew and race in an all-out war for your city against rival crews and opposing car classes. you'll risk everything to take over rival neighbourhoods one street at a time.  each crew member has unique skills that you trigger during races to give you the winning edge over opponents. call on a blocker to create a distraction and slow down other racers or a scout to lead you to shortcuts on the track.  as the police turn up the heat and force the races to the outskirts of the city, the battle ultimately shifts to carbon canyon, where territories and reputations can be lost on every perilous curve.  use your creativity to design your crew's cars with the revolutionary new autosculpt™ car customisation tool that gives you the power to turn every vehicle into the car you've always wanted.  represent your car class, your crew, and your streets in need for speed carbon, the next revolution in racing games
electronic arts uk ",2,0,1,0,0,0,4,1,1,1
Driv3r,"get ready to take the wheel!

 the wheelman™ returns in his most dangerous adventure yet — an interactive driving epic on par with the most intense hollywood action blockbusters! undertake a wide variety of high-speed vehicle-based missions and go deeper undercover than ever before. driver 3 will provide next generation gamers with all new gameplay possibilities, unmatched replayability and an unparalleled driver experience. ",0,2,0,0,1,0,0,0,0,0
Vigilante 8,"it's 1975. a raid on a secret military base arms two psycho motor-gangs with enough firepower to wipe out the entire southwest. and only you are crazy enough to join the fully-loaded, off-road warfare. ",0,0,0,0,0,0,0,0,0,0
NASCAR Thunder 2003,"nascar thunder 2003 features an all-new game engine with more realistic vehicle dynamics, including tire grip and wear patterns, handling and suspension behavior, and collision physics; fun entry-level control with progression to deeper ""simulation."" the career mode now includes 20 successive seasons in which you will need to manage four major components while building a racing car. compete for top sponsors, the best crewmembers, and the latest racing technology.
[ea sports] ",0,0,0,0,0,0,0,0,0,2
Cars,"race to the finish line as you live all the fun and excitement of the next walt disney pictures presentation of a pixar animation studios film, ""cars."" play as all your favourite characters as you help lightening mcqueen capture the coveted piston cup championship. fans will discover unique characters and environments inspired by the film with more than 10 playable characters and 30 races and minigames to choose from. the game features a fully immersive re-creation of all major environments introduced in the movie, including radiator springs and ornament valley, which will offer distinctive racing experiences to players while maintaining the artistic style of the film.
features:

movie moments: enjoy a story-based racing adventure game that relives all of the key moments of the movie.
playable characters: choose from more than 10 playable characters from the film.
open road: explore the open world environment with more than 30 races and minigames.
voice talent: authentic voice talent from the movie is featured in the game.

 ",0,0,0,0,0,0,0,1,0,2
Need for Speed Underground,"
build and race the fastest urban exotic!  enter the world of urban street racing and high performance tuner cars with the latest title in the hit need for speed series: need for speed™ underground. take on today's most popular tuner cars from mitsubishi motors, subaru®, toyota™ and many more, building the ultimate street machine by earning cash to pay for custom body kits and a host of licensed car performance mods. but just creating a custom street racing machine will not get you to the top; it takes a certain amount of attitude and razor sharp driving skills to compete in the tough world of urban racing.  a number of diverse events set in gritty, nighttime environments make up the heart of street competition. players become complete street racers by perfecting skills in each event by nailing the perfect shift in drag racing and by putting their street cred on the line, racing through the city streets late at night.  prove you belong in the elite street racing circles, work your way up the underground rankings and take on the best of the best in each discipline.
electronic arts uk
 ",1,0,1,0,1,0,1,1,2,5
Cars,"

when lightning mcqueen moves his racing headquarters to radiator springs, it doesn't take long for troublemaking outsiders, dj, wingo, boost, and snot rod to decide they want a piece of the racing action. to drive these high-octane pranksters out of town, the ever-confident mcqueen challenges each of them to a series of races. so start your engines, hold on tight, and get ready to leave the competition in the dust!

make friends eat your dust with multiplayer mode!
burn rubber in over 25 races!
speed to the finish line with over 15 playable characters!

thq
 ",1,0,0,0,0,0,0,0,0,2
Test Drive 4,"test drive 4 is a racing game, developed by pitbull syndicate and published by accolade,  which was released in 1997. ",0,0,0,0,0,0,0,0,0,1
ATV Offroad Fury 3,"the third installment in the atv offroad fury franchise provides free-roaming offroad racing gameplay, packed with additional courses, larger environments, extra modes, minigames, more atvs, online gameplay, and future support for the internal ps2 hard-disk drive. through both on- and offline gameplay, you can tear up the tracks in more than 24 atvs, including six competing atvs in single-player and multiplayer modes. you can race in more than 30 unique environments with six distinct terrain types, as well as compete in eight minigames. source - www.us.playstation.com  ",0,0,0,0,0,1,0,1,0,1
