Name,Summary,yabou,gundam,tycoon,armies,command,sd,rts,units,worms,strategy
Stronghold 2,"the king, having fled after the defeat of his armies, now attempts to rule his country from a secret location. it is not known if he is even in the country anymore. now, powerful barons jostle for what is fast becoming a disintegrating kingdom. it is up to you to stem the tides of their ambition and unite the land under the king once again!
 
source - www.2kgames.com (publisher) ",0,0,0,0,0,0,0,0,0,0
Warcraft: Orcs & Humans, ,0,0,0,0,0,0,0,0,0,0
Invizimals: Shadow Zone,"
return to the amazing world of the invizimals – the hidden creatures that only your psp can see.


includes over 100 new invizimals to hunt down using the psp camera:  you can  now modify your invizimals by changing their names, colours and  choosing from a greater range of attacking moves.
enjoy a new campaign that will take you across the globe with new capture moves and special attacks.
brand new co-operative capture mode allowing two players to hunt down monsters together.

note: online functionality not available on psp-e1000 series.


 
psn uk ",0,0,0,0,0,0,0,0,0,0
Dragon Force,"step forth brave warrior. the destiny of the world of legendra lies solely in your hands. play as one of eight warlords, each with a unique storyline, to conquer the evil forces of madruk in this incredible role playing/strategy game. ",0,0,0,0,0,0,0,0,0,0
Full Spectrum Warrior,"based on a training aid developed for the u.s. army*, full spectrum warrior is a squad-based, real-time tactical combat game that allows players to experience the intensity and gritty realism of urban warfare.
as squad leader, take command and coordinate the actions of two infantry squads, leading them through a hostile urban warzone. an intuitive control scheme allows you to control up to eight soldiers in real-time as you outthink, outmaneuver and outgun enemies through 14 levels of intense combat. learn and implement authentic combat tactics, battling enemies with an explosive arsenal of authentic weaponry and equipment.
 * this game is not sponsored or endorsed by the united states army

squad based, real-time tactical combat - based on a u.s. army - light infantry training simulator
14 levels of intense urban combat warfare
authentic implementation of combat infantry doctrine and urban combat strategy.
intuitive control scheme enables players to command two squads (8 soldiers) in real-time.
authentic weapons and equipment ""“ based on real-world weaponry
lifelike character animations, graphics and textures, detailed special effects and cinematic quality cut-scenes.
includes 2 bonus levels + 1 exclusive playstation 2 level
online multiplayer - two player co-op (broadband only)
developed by pandemic studios ""“ developers of star wars : battlefront



game website ",0,0,0,0,2,0,0,0,0,0
Pit People,"master the destiny of a full cast of tragically unique heroes as you plot a course across an apocalyptic wonderland!
dogged at every step by a mysterious and power-hungry narrator you'll need to rally your troops and steel your wits if you hope to survive a hostile world filled with sinister robots, deadly vampires and brutally adorable cupcake people! 
in our fast-paced, turn-based, co-op adventure you'll quest and explore, find awesome loot, customize your fighters, and recruit strange species!


 a strategic game of positioning
 single player, 2 player co-op, and up to 4 players for 2v2
 signature behemoth art style & humour 

source: developer
",0,0,0,0,0,0,0,0,0,0
Little King's Story,"little king’s story has an art style which is very ‘story-book’ in look and has a magical fairy tale quality which will intrigue and delight gamers. the storyline, visual imagery and lyrical music of the game work in concert to transport players to an interactive, enchanting fairytale world. by combining gameplay elements from life-simulation, real-time strategy and adventure genres, the many aspects of creating a vast kingdom come to life. as the king, players will manage and involve their townspeople in the goals of creating this new territory. he will enlist them to dig for treasure, build new buildings and otherwise better their community. of course leadership is a two-way street, so as the king, players must try to conquer rival nations to create a single, unified kingdom whilst also granting the requests of townspeople as he sees fit. the game transforms the wii remote into a royal scepter and offers players the chance to be the best king in the world! ",0,0,0,0,0,0,0,0,0,1
Kagero: Deception II,"through the brutal use of brainwashing, the blue-skinned timenoids had for centuries ruthlessly dominated their inferior human counterparts. immortal in their lifespans and ingenius in their plans, the timenoids had crated armies of unknowing human drones to wage war against the only race that possessed the power to end their reign of terror, and their lives - the human. their plan backfired, though, when millenia, brainwashed but not braindead, arrived on the scene. ",0,0,0,1,0,0,0,0,0,0
Zoo Tycoon 2 DS,"zoo tycoon 2 cranks up the excitement, challenge and fun of building the ultimate zoo with 30 animals in incredible detail with more fun animations, a dazzling array of building tools and objects, including themed-buildings, moats, photo mode options, easier terrain altering options and rivers.  ",0,0,1,0,0,0,0,0,0,0
SD Gundam G Century,"sd gundam: g century is a strategy game, published by bandai,  which was released in japan in 1997. ",0,0,0,0,0,1,0,0,0,1
Dynasty Tactics,"experience the thrill of battle and learn the art of warfare with dynasty tactics. set during the three kingdoms period of ancient china, the game lets you play as one of three leaders--liu bei, cao cao, or sun ce. each officer possesses unique attacks--such as charge, ambush, and fire--which you can use on the battlefield alongside your armies. your decisions make the story. will you stay true to history or create an entirely new world? ",0,0,0,0,0,0,0,0,0,0
Worms: WMD,"the worms are back in their most destructive game yet. with a  gorgeous, hand-drawn 2d look, brand new weapons, the introduction of  crafting, vehicles and buildings plus the return of some much-loved  classic weapons and gameplay, worms w.m.d is the best worms experience  ever.
work your way through 30 campaign levels of increasing difficulty  using the huge arsenal of new and classic weapons at your disposal. use  new vehicles to cause chaos amongst the enemy ranks and use buildings to  gain the tactical advantage as you try to dominate the battlefield!
take on up to five opponents in hilarious all-out tactical worm  warfare with up to eight worms each, either in local or online  multiplayer, including ranked play. flatten your opponents with the  concrete donkey. turn them into chunks of worm meat with the holy hand  grenade. rain down hell from above in helicopters or pound them into  oblivion with the tank. with 80 weapons and utilities at your  fingertips, this is worms at its chaotic best!
key features

wonderfully 2d: the best implementation of the worms formula yet, now with a brand new worm, and gorgeous digitally-painted 2d artwork. 


vehicles: worm warfare gets serious with the  introduction of vehicles for the first time in the series. dominate the  landscape in warfare-ready tanks, take to the skies to unleash hell from  from above in helicopters and more! 


buildings: keep your head down, and hide out in a  building. buildings provide a tactical advantage by hiding away your  worms, and keeping them safe from direct attacks! 


crafting: no more waiting around while your  opponents take their turns! grab the crafting crates that drop from the  sky during games to make fiendishly upgraded versions of items such as  the electric sheep, the bazooka pie and the holy mine grenade to unleash  on your enemies! 


classic worms physics and gameplay: our brand new  engine recreates the feel of the fan-favourite entrants in the series;  and sees the reintroduction of the much loved classic ninja rope! 


new and classic weapons: over 80 weapons and  utilities at your fingertips, including many returning classics and a  slew of new additions such as the dodgy phone battery, the unwanted  present and the omg strike. 


mounted guns: as if over 80 weapons and utilities  wasn’t already enough! a range of different gun types are placed around  the landscape, allowing your warmongering worms to do even more damage! 


hilarious single player plus online and local multiplayer warfare:  worms w.m.d comes locked and loaded with a huge arsenal of training  missions, campaign missions and challenges for the solo player. train up  then head online to create havoc in multiplayer modes including ranked  play, with room for up to six players with eight worms each on a map!

source: https://www.team17.com/games/worms-wmd/ ",0,0,0,0,0,0,0,0,10,0
Romance of the Three Kingdoms III: Dragon of Destiny,"romance of the three kingdoms iii is a historic turn-based strategy game, developed and published by koei,  which was released in 1993. ",0,0,0,0,0,0,0,0,0,1
Culdcept, ,0,0,0,0,0,0,0,0,0,0
Lord of Darkness,"lord nobunaga is out to take control of japan and along the way he plans on making lots of trouble for those around him.
as a young daimyo with your own ambitions, here's your chance to plot strategies that will get you past lord nobunaga and the obstacles he has in store for you. in preparation, surround yourself with strong generals, strengthen your territories through new technologies and supply your armies with the latest in rifles.
and remember: don't let your upcoming battle delay you in keeping your citizenry well fed, your warriors versed in tea ceremonies and your messengers prepared to make alliances with neighboring states. when the inevitable confrontation comes, lord nobunaga will use a variety of military tactics including: joint attack, day and night battles, castle sieges and ninja infiltrations.
stay on your toes and prepare for anything? when lord nobunaga's in the picture, bad things tend to happen! ",0,0,0,1,0,0,0,0,0,0
Yu-Gi-Oh! World Championship 2008,"the tournament dueling is back with the official software of the 2008 yu-gi-oh! world tournament! battle it out on two exciting game modes: “world championship” mode, and the new “duel world” mode, where you can venture through events, meet duel spirits, and buy new cards.
features:

the official software of the 2008 world tournament
two exciting game modes: “world championship” and the all-new “duel world”
includes the latest cards to strengthen your deck and card strategies
duel your friends online via the nintendo ds wi-fi connection
includes three special edition trading cards

 ",0,0,0,0,0,0,0,0,0,0
Kakyuusei,"kakyuusei is a strategy game, published by elf,  which was released in japan in 1997. ",0,0,0,0,0,0,0,0,0,1
Civilization II,"re-write history with civilization ii as you lead your people to the promised land of peace and harmony with neighbouring cultures. that's one theory anyway, though what usually happens is that the chinese whisper of international diplomacy means that the message gets distorted in transmission.
you start civilization ii as leader of a puny tribe of people, eking out a subsistence-level existence in a time where log fires are considered hi-tech. using your leadership and strategy skills, you must explore your world, expand your empire and ensure the survival of your way of life in what can turn out to be a pretty dog-eat-dog world.
as time passes and your success builds you will form new alliances, make new enemies, discover new technologies and systems of government . . .all with the aim of ensuring the persistence of your civilisation. noble aims which will sometimes mean brinkmanship, double-dealing and back-stabbing, but it's for the greater good, and all that. with a new interface developed specially for playstation and a huge depth of gameplay, civilization ii lets you steer history from the stone age to the future, and wage war with anything from spears to stealth bombers. 
with fmv sequences bringing your most notable achievements to life, will you have greatness thrust upon you? ",0,0,0,0,0,0,0,0,0,1
SD Gundam G Generation Portable,"sd gundam g generation portable is a sci-fi turn-based strategy game, developed by namco bandai games and published by namco bandai games america,  which was released in japan in 2006. ",0,1,0,0,0,1,0,0,0,1
Command & Conquer, ,0,0,0,0,0,0,0,0,0,0
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu, ,0,0,0,0,0,0,0,0,0,0
Plants vs. Zombies,"get ready to soil your plants! 
a mob of fun-loving zombies is about to invade your home, and your  only defense is an arsenal of zombie-zapping plants. use peashooters,  wall-nuts, cherry bombs and more to mulchify zombies before they reach  your front door. the fun never dies!
(popcap.com) ",0,0,0,0,0,0,0,0,0,0
R.U.S.E.,"
the games on demand version supports  english,  french, italian, german, spanish, polish. download the manual for this  game by locating the game on http://marketplace.xbox.com and selecting  “see game manual"".   in r.u.s.e.™, players use their brain as the  ultimate weapon, fighting a war of perception, where the ability to  deceive and mislead the enemy determines success. a first in a strategy  game, r.u.s.e. reinvigorates the genre by using deception to give  new-found depth to the game play.

 
xbox.com ",0,0,0,0,0,0,0,0,0,1
Duel Masters,"marking the franchise's first-ever appearance on playstation®2, duel masters brings the duel masters universe to life with incredible 3d graphics.  players are invited play solo or battle against a friend in this challenging new adventure that also allows them to discover the powers of five never-before-seen creatures.  duel masters allows gamers to duel in real-time and turn-based modes, collect, trade, and build decks, duel in the new multiplayer mode, and test their skills against the enhanced computer ai.  ",0,0,0,0,0,0,0,0,0,0
Battle of Giants: Mutant Insects, ,0,0,0,0,0,0,0,0,0,0
Total War: Attila,"the scourge of god is coming. your world will burn.
against a darkening background of famine, disease and war, a new  power is rising in the great steppes of the east. with a million  horsemen at his back, the ultimate warrior king approaches, and his  sights are set on rome…the next instalment in the multi award-winning pc  series that combines turn-based strategy with real-time tactics, total  war: attila casts players back to 395 ad. a time of apocalyptic turmoil  at the very dawn of the dark ages. how far will you go to survive? will  you sweep oppression from the world and carve out a barbarian or eastern  kingdom of your own? or will you brace against the coming storm as the  last remnants of the roman empire, in the ultimate survival-strategy  challenge?
source: https://www.totalwar.com ",0,0,0,0,0,0,0,0,0,1
Tropico 4,"the  world is changing and tropico is moving with the times ∼ geographical  powers rise and fall and the world market is dominated by new players  with new demands and offers -- and you, as el presidente, face a whole  new set of challenges. if you are to triumph over your naysayers you  will need to gain as much support from your people as possible. your  decisions will shape the future of your nation, and more importantly,  the size of your off-shore bank account. tropico 4 expands on the gameplay of the previous game with new  political additions ∼ including more superpowers to negotiate with,  along with the ability to elect ministers into power to help get your  more controversial policies passed. but remember to keep your friends  close and your enemies closer as everyone has an agenda! your political  mettle will be thoroughly tested, as new natural disasters will have the  populace clamoring for you and your cabinet to help them recover from  some of the worst mother nature can dish out. tropico 4 also brings a new level of social interaction with the  addition of facebook and twitter integration (windows pc version only).  post comments on twitter direct from the game and have updates go out  when you complete missions or unlock new achievements. you can even take  screenshots of your burgeoning island and post your dream creation on  your tropico 4 facebook page and compare your interactive dictator  ranking on the online leaderboards.   
features

new campaign consisting of 20 missions on 10 new maps
20 new buildings including stock exchange, shopping mall, aqua park and a mausoleum to el presidente
six new interactive disasters including volcanoes, droughts and tornadoes
council of ministers –  selected citizens to mimisterial posts in the government to help push  through your more controversial decisions
national agenda – receive  objectives from tropican factions, foreign geopolitical powers or  opportunities relating to current island events such as ongoing  disasters
facebook and twitter integration (pc-only features)
screenshot gallery – take screenshots of your tropical paradise and share on your facebook page (pc- only feature)
trading system – import and export goods to/from other nations to boost your economy or production

 
kalypso media ",0,0,0,0,0,0,0,0,0,0
R.U.S.E.,"r.u.s.e. is a one-of-a-kind real-time strategy game that allows players to bluff their enemies to lead their nation to victory, controlling the action using views that range seamlessly from the heart of the battlefield to the full theatre of war. players will be plunged into the action thanks to the exclusive iriszoom engine which offers an intuitive interface that allows for smooth, rapid transitions from a birds-eye view of the entire conflict, down into the heat of the battle and vice versa. ",0,0,0,0,0,0,0,0,0,1
Battlestations: Midway,"action on an immense scale - the greatest air, sea, and undersea battles from pearl harbor to midway fought like never before. launch your fleet and then take direct control of every plane, battleship, and submarine at any time to fly the attack, fire the cannons, and launch the torpedoes. single and online multiplayer up to 8 players (4v4).

features:

revolutionary gameplay: experience epic wwii combat from multiple perspectives as you jump between dozens of units, playing as a pilot, a gunner, a submarine captain or even carrier fleet commander.


massive air, sea, and undersea battlefields: every battle takes place simultaneously in the air, on and under the sea. movement of your fleet and the individual efforts of any one vehicle is critical to success.


sixty warships. planes, ships and submarines authentically designed. the more players know about each ship’s profile, capabiilities and weaknesses the better they will fight. features the wildcat and zero fighter planes, the dauntless divebombers, the b17 and b24 bombers, uss yorktown, and japan’s infamous super battleship, the yamato.


authenticity & realism: cutting-edge graphics bring the pacific oceans and island chains alive with lush real-world environments, dynamic weather effects and incredibly detailed vehicles and weaponry.


deep single player mode: featuring 11 massive campaigns with 12 bonus challenge missions and an immersive storyline.


innovative online multiplayer mode: huge multi-unit online battles with up to 8 players on xbox live and gamespy.


source - www.eidosinteractive.com (publisher) ",0,0,0,0,0,0,0,0,0,0
SD Gundam G Generation: Cross Drive,"sd gundam g generation: cross drive is a sci-fi turn-based strategy game, developed by namco bandai games and published by bandai,  which was released in japan in 2007. ",0,1,0,0,0,1,0,0,0,1
Fire Emblem: Thracia 776,"fire emblem: thracia 776 is a fantasy turn-based strategy game, developed by intelligent systems and published by nintendo,  which was released in japan in 2000. ",0,0,0,0,0,0,0,0,0,1
Super Robot Taisen R, ,0,0,0,0,0,0,0,0,0,0
Romance of the Three Kingdoms II,"romance of the three kingdoms ii is a historic turn-based strategy game, developed and published by koei,  which was released in 1992. ",0,0,0,0,0,0,0,0,0,1
Blood Bowl: Chaos Edition, ,0,0,0,0,0,0,0,0,0,0
A. IV Evolution: A Ressha de Ikou 4,"a. iv evolution: a-ressha de ikou 4 is a strategy game, developed and published by artdink,  which was released in japan in 1994. ",0,0,0,0,0,0,0,0,0,1
Sid Meier's Civilization VI,"originally created by legendary game designer sid meier, civilization  is a turn-based strategy game in which you attempt to build an empire  to stand the test of time. become ruler of the world by establishing and  leading a civilization from the stone age to the information age. wage  war, conduct diplomacy, advance your culture, and go head-to-head with  history’s greatest leaders as you attempt to build the greatest  civilization the world has ever known.
civilization vi offers new ways to engage with your world: cities now  physically expand across the map, active research in technology and  culture unlocks new potential, and competing leaders will pursue their  own agendas based on their historical traits as you race for one of five  ways to achieve victory in the game.

expansive empires: see the marvels of your empire  spread across the map like never before. each city spans multiple tiles  so you can custom build your cities to take full advantage of the local  terrain.
active research: unlock boosts that speed your  civilization’s progress through history. to advance more quickly, use  your units to actively explore, develop your environment, and discover  new cultures.
dynamic diplomacy: interactions with other  civilizations change over the course of the game, from primitive first  interactions where conflict is a fact of life, to late game alliances  and negotiations.
combined arms: expanding on the “one unit per tile”  design, support units can now be embedded with other units, like  anti-tank support with infantry, or a warrior with settlers. similar  units can also be combined to form powerful “corps” units.
enhanced multiplayer: in addition to traditional  multiplayer modes, cooperate and compete with your friends in a wide  variety of situations all designed to be easily completed in a single  session.
a civ for all players: civilization vi provides  veteran players new ways to build and tune their civilization for the  greatest chance of success. new tutorial systems introduce new players  to the underlying concepts so they can easily get started.

source: https://civilization.com/ ",0,0,0,0,0,0,0,3,0,1
Zoo Tycoon 2: Ultimate Collection,"it's the ultimate! for the first time ever, all the animals and all the thrills of zoo tycoon 2 and its four fun-filled expansion packs—extinct animals, marine mania®, endangered species, and african adventure—are combined into one most excellent zoo. welcome to zoo tycoon 2: ultimate collection!
make way for more than 100 of the most awesome animals ever—from the aardvark to the zebra. and don’t forget those dinos, from the toothy t. rex to the spiky doedicurus. play minigames galore, create marine shows, and more in this zoo of zoos. it’s the ultimate and it’s yours!(official site) ",0,0,2,0,0,0,0,0,0,0
Stronghold Legends,"stronghold legends is a real time strategy (rts) game that builds on the fantastic stronghold heritage, combining beautifully crafted visuals and perfectly balanced game play with the epic legends of the middle ages. it features a range of new innovations including three unique castle styles to build, three landscapes to fight across, three races to control - king arthur and his knights of the round table, count vlad dracul and his evil army, and the historic sagas of dietrich - and a range of exciting new multiplayer modes.
features:

 24 missions over 3 unique campaigns - featuring hero characters king arthur and his knights of the round table, count vlad dracul, and the heroic sagas of dietrich.
 more weapons - 100% more siege equipment and castle traps (werewolf launchers, infernal balls, stake hurlers, tunnel systems, dragon harpoons, dispel bombs, magic gardens) than in any pervious stronghold title.
 more castles and unit types - 3 unique castle styles to build and 31 unit types.
 map editor - 3 landscape types, which can be mixed on the same map. 
 new mode - all new skirmish mode.
 4-player multiplayer - classic stronghold deathmatch and thrilling new multiplayer modes such as king of the hill, economic war, and capture the flag. 
 ",0,0,0,0,0,0,0,0,0,1
Dune 2000, ,0,0,0,0,0,0,0,0,0,0
Panzer General,"the year is 1939 and you are a german general with a fresh command in poland. anything can happen. lead well and your inexperienced units could turn into an overwhelming force plowing through norway. belgium, france, north africa and eastern front. you could even end up on the shores of england by 1940 - or in america by 1945! in addition to the campaign game, you can play over 35 progressive scenarios independently as either the allied or axis side. choose from over 350 unit types - from tiger tanks to b-17 flying fortresses. ",0,0,0,0,1,0,0,1,0,0
Command & Conquer 3: Kane's Wrath,"
command & conquer 3™: kane's wrath includes all the units, structures, and superpowers from command & conquer 3 tiberium wars™, allowing you to command over 100 units and structures.  choose from three classic c&c factions—the brotherhood of nod, the global defense initiative, or the enigmatic alien scrin, or from one of six all-new subfactions, each with unique units and abilities. 
the xbox 360-exclusive mode kane's challenge provides the ultimate test of c&c mettle. choose from nine armies and enter the gauntlet against the fiercest forces the world has ever seen in over 90 matches. multiplayer fans, nuke your friends in the name of kane across 50 multiplayer maps. 
waging epic warfare has never been easier as you execute complex orders from anywhere on the battlefield with a simple flick of your thumb using the all-new commandstick. designed specifically for xbox 360, the commandstick takes real-time strategy (rts) controls to a whole new level, allowing even the most novice rts gamers to build, deploy, and attack with great ease.
your army awaits your command.
does not require command & conquer 3 tiberium wars to play.




rts controls made easy: the all-new command stick brings console rts controls to the next level.  build, deploy, and attack with an all-new radial interface formulated specifically for console gamers. console rts gaming will be revolutionized yet again!
unprecedented multi-decade campaign: kane returns as the centerpiece of an epic new single-player campaign. experience a new story that spans 20 years, from the rebirth of the brotherhood of nod after the second tiberium war through the dramatic events of the third tiberium war and beyond. facilitate the rise of the brotherhood leading up to and beyond the events of command & conquer 3 tiberium wars.
xbox 360-exclusive kane's challenge: run the gauntlet of over 80 matches against all nine unique armies in the ultimate test of c&c skill. whether you're with him or against him, the dark messiah himself will interact with you each step of the way. think you have what it takes to complete kane's challenge? 
six new armies: with the introduction of six new subfactions, each with exclusive units, structures, and abilities, the tiberium wars will never be the same. utilize the sub-faction of your choice to fully take advantage and compliment your play style. 
live-action videos: witness the rise of the brotherhood first-hand through intense live action video sequences starring natasha henstridge, carl lumbly, and joe kucan as kane. 
new epic units: devastate the battlefield with the immense firepower of all-new epic units. epic in sheer size and game-changing potential, and customizable by garrison, epic units promise to lay siege to your enemy on the battlefield.

xbox.com
 ",0,0,0,2,6,0,4,3,0,1
Hoard," 
 
you are the dragon:- burn villages!- kidnap princesses!- collect treasure!- roast pesky knights! - compete with other dragons in epic multiplayer battles!
in classic medieval fables, knights would travel the kingdom in search of dragons to slay and treasure to take. what a mean thing to do!
hoard is a game that puts you in control of the real hero of the tales...the dragon!
around you, a new kingdom of humans is threatening to put you out of your hoard and take what you have. the only way to maintain your quality of life is to make sure that kingdom doesn't succeed!
if you can steal enough gold from the kingdom, the people will be bound to pack up shop and find some easier place to settle. attack their wagons! raid their food carts! burn down houses! make them think twice about ever waking you from your peaceful, centuries-long slumber!
of course, burning everything in sight doesn't get you as much gold as you'd like. really, you need to let those towns and crops grow just enough to crank out out some real treasure. then take it!
and if you get lonely, capture a fair maiden and bring her back to your hoard for conversation. kings will pay good gold to get them back. just watch out for those pesky knights!
 
official site. ",0,0,0,0,0,0,0,0,0,0
Super Robot Taisen D, ,0,0,0,0,0,0,0,0,0,0
SteamWorld Heist, ,0,0,0,0,0,0,0,0,0,0
Anno 2205,"anno 2205 – the beloved city builder takes off into space!
in anno 2205, you join humankind‘s next step into the future with the promise to build a better tomorrow. you conquer earth, establishing rich, bustling cities and grand industrial complexes, but to secure the prosperity of your people, you must go into space.
a scientific breakthrough in fusion energy promises to revolutionize all aspects of society. the necessary isotope, helium-3, can only be found in harvestable quantities on the moon. venture into space and settle on the moon in the thrilling race for resources and power.
anno’s masterful economic gameplay is back and taking strategic city-building simulation to new heights, launching into space!
source: ubisoft store. ",0,0,0,0,0,0,0,0,0,0
Super Robot Taisen F Kanketsuhen, ,0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! GX: Tag Force 3,"yu-gi-oh! gx tag force 3 is the most advanced yu-gi-oh! title to hit psp to date, and enjoys a simple yet effective dueling interface to make games faster and easier to manage. the game's 3500 cards are sampled from the most recent trading card game packs, including 'the duelist genesis' set, and offer a wide range of traps, monsters and spells for the user to amass. players can also use the hardware's online capabilities to download additional content, including entire decks or individual cards. every aspect of yu-gi-oh! gx tag force 3 has been enhanced, with all-new ai routines adapting to the way the game flows, while the social aspect of the trading card game is showcased as up to four players duel together via the psp ad-hoc lan mode. a new gallery feature is also introduced, and provides a visual record of defeated monsters and key events. ",0,0,0,0,0,0,0,0,0,0
Total War Saga: Thrones of Britannia, ,0,0,0,0,0,0,0,0,0,0
Code Name: S.T.E.A.M.,"in the code name: s.t.e.a.m. game, you will launch s.t.e.a.m. (strike        team eliminating the alien menace), an elite team of steam-powered        special-forces soldiers, to save the world from an alien menace. in this        new blend of action and strategy, your commandos use steam power stored        in special backpacks to move into position and fire an arsenal of        distinct weapons. pick your team members and load out, then use strategy        to decide the best way to approach this steampunk-inspired battlefield.
features:
 

 experience a new, steampunk-inspired turn-based action strategy game          from intelligent systems, the company behind classics like advance          wars and fire emblem. 
 outflank and outshoot the enemy in a fully 3d battlefield. to defeat          aliens, you have to take cover, set up ambushes and unleash crossfires          and counter-attacks. 
 an unexpected cast of characters leaps to life in stylized 3d graphics          and comic-book-style cinematics. 
 harness the power of steam, which plays a vital role to power the          world, including powering movement and weapon use. managing steam          reserves is key to strategy. 
 battle through alien-infested maps using a four-member team comprised          of diverse characters that have unique abilities and weapons. 

source: publisher ",0,0,0,0,0,0,0,0,0,2
Age of Empires: The Age of Kings,"age of empires: the age of kings ® for the nintendo ds is based on the        best-selling pc rts title of all time: age of empires ® ii: the age of        kings. players command five different civilizations, build armies and        take them on scores of campaigns. boasting turn-based strategy game        play, age of empires: the age of kings ® allows players to move from the        dark ages through the middle ages with one goal in mind: domination of        the known world.
 

 command one of five different civilizations: the britons, franks,          mongols, saracens, and japanese.
take control of special ‘hero’ units like richard the lionheart,          minamoto yoshitsune, joan of arc, genghis khan, and saladin among          others who command special ‘hero’ powers affecting the entire          battlefield.
command over 65 different types of units from bowmen and monks to hand          cannoneers, mercenaries and samurai.
turn-based combat, new to the age of empires franchise, keeps the          battle moving at the player-preferred pace.
players construct & upgrade buildings like town centers, mines,          universities and ‘wonders’ to help units learn new skills and create          resources for their civilizations.
players research over 50 different technologies like chemistry,          ballistics, siege craft and spying among others to take their          civilization into the next age.
get help from the new combat advisor who provides advice on certain          campaign strategies and an indication of how the battle will go.
multiplayer scenarios allowing up to 4 players to battle each other          wirelessly.
gain empire points to unlock maps & units and improve emperor rank.
original music and sound effects from top-selling pc version.
based on ensemble studio’s pc mega-hit, age of empires ® ii: the age          of kings . 

nintendo.com ",0,0,0,1,4,0,1,4,0,1
Worms: Battle Islands,"prepare to rally your worm troops and battle your way through worms: battle islands, coming soon on wii. with classic 2d gameplay and trademark cartoon  violence, take control of a secret island worms base and plot to defeat  your enemies. create your own weapons of mass destruction in the weapon  factory using the “technology crates” collected from the single-player  campaigns. the game contains a wealth of features, including: extensive  online multiplayer support, five multiplayer modes, sixty single player  missions, and a paint-package like landscape editor.
 
game features:


40  different in-game weapons and utilities, including the flare, and the  emp grenade and an in-game weapon factory for the player to create their  own weaponry.


5 different multiplayer game  modes, including the all-new tactics mode, as well as deathmatch, forts,  racing, triathlon, which can be all be played offline or online.


tutorial and firing range modes  help new players learn the basics and hone their skills, 30  single-player campaign mode missions and 30 brain teasing single-player  puzzle challenges.


six brand new in-game environments to do battle in: arctic, jungle, nuclear, chemical, desert and underwater.


name your worms and customise their appearance, with new items including: masks, backpacks and customisable power-bars.


new player ranking system awards  the player with experience points,  higher ranked players gain access  to more of the games locked items.


wii™ -  command your worms with three different control setups: the  classic  way with the wii remote™ turned on its side, motion sensing  where the  player makes gestures to fire the weapons, or the motion  sensing option  coupled with a nunchuk™ for added control.


 
source: http://www.team17.com/?page_id=21 ",0,0,0,0,1,0,0,0,3,0
The Lord of the Rings: The Third Age,"

experience the first console roleplaying game (rpg) set in the lord of the rings™ universe in the lord of the rings™, the third age™ from ea games™. travel in the wake of the fellowship in a unique structure that allows players to explore their own path while periodically intersecting the major events of new line cinema’s film trilogy. traverse through both familiar and seldom-glimpsed locations as you fight to save or destroy middle-earth™ in an epic adventure. encounter the demonic balrog in the mines of moria, defend the fallen city of osgiliath, or try to destroy helm’s deep. these choices and many more will confront you as you align yourself with the people of middle-earth or undertake missions on behalf of sauron.  play as all-new characters from middle-earth, interacting with the heroes, villains, and supporting cast who populate the world. your heroes or villains are completely upgradeable, allowing you to enhance their weapons, fighting style, and attributes. then you will embark on a free-roaming adventure where you can complete the primary objectives or seek out the various side quests and uncover hidden characters, secret weapons, and powerful items.  dispatch the forces of light or shadow with an innovative turn-based battle system. ride horses or wargs and charge through your foes. use your leadership skills to maximize your party and unleash devastating attacks as you fight alongside or against key characters from the films such as aragorn, gandalf, and the balrog.  explore a beautiful and realistic world that features assets from all of the films, voice acting from the original actors, and motion capture from the films’ stunt doubles.
 
source - www.electronicarts.co.uk (publisher)
 ",0,0,0,0,0,0,0,0,0,0
Steel Division: Normandy 44,"steel division: normandy 44 is a tactical real-time strategy (rts) game,  developed by eugen systems, the creators of titles like wargame and  r.u.s.e. this new game puts players in command of detailed, historically  accurate tanks, troops, and vehicles at the height of world war ii. steel division: normandy 44  allows players to take control over  legendary military divisions from six different countries, such as the  american 101st airborne, the german armored 21st panzer or the 3rd  canadian division, during the invasion of normandy in 1944.
source: paradox interactive ",0,0,0,0,1,0,0,0,0,1
Kartia: The Word of Fate,"after numerous wars, peace was brought to the land by the power of kartia... yet, in this peaceful land, evil desires lived within the hearts of the people. this is the story of a boy and girl who courageously lived through this chaotic era... ",0,0,0,0,0,0,0,0,0,0
