Name,Summary,campaign,war,sniper,fps,soldier,weapons,enemy,person,duty,shooter
Star Wars Battlefront: Renegade Squadron,"star wars battlefront: renegade squadron is the previously untold story of a ragtag ensemble of battle-hardened rogues and scoundrels assembled by han solo. gathered to execute some of the most secretive operations in the rebel alliance’s war against the galactic empire, the renegade squadron participates in battles spanning the galaxy. from the valley of the sith on korriban to a dogfight in space through the remains of alderaan, solo directs the team on missions of sabotage, rescue and retrieval.the only original star wars battlefront experience of 2007, renegade squadron delivers a new way for players to experience their favorite star wars battles any way – and anywhere – they want. the game presents new battles and missions found through a never-before-told story, as well as an unprecedented wealth of personalization and customization options. and for the first time on the psp system, star wars battlefront players can team up or compete online with friends all over the world.in star wars battlefront: renegade squadron, robust customization options replace the class system seen in previous star wars battlefront titles, allowing for millions of possible unique combatants. with weapons, equipment and abilities that players select themselves, no two allies will likely ever look or perform exactly the same.features

beginning with the evacuation of yavin 4 (end of a new hope) and ending with the battle of endor (return of the jedi), the original story features 11 battles as seen through the eyes of a clandestine rebel team personally selected by han solo.
millions of possible customizations directly affect gameplay to an even greater degree than the predetermined character classes of previous star wars battlefront games.
players can upgrade and customize soldiers’ attributes (health, speed, agility), equipment (weapons, items) and appearance (species, body, insignia, uniform colors).
new maps include ord mantell, boz pity, korriban, sullust and saleucami, plus new space battles at kessel, hoth, and the remnants of alderaan. renegade squadron also adds a second hoth map, plus a new interpretation of endor.
for the first time, fly as heroes in space aboard the millennium falcon, darth vader’s tie advanced, jango and boba fett’s slave i, and obi-wan kenobi’s jedi starfighter.
new land-based heroes include admiral ackbar, ben kenobi (episode iv), ig-88, asajj ventress and kit fisto. fourteen heroes return from star wars battlefront ii.
renegade squadron debuts b-wings and tie defenders in space, plus a5-r juggernauts, t4-b heavy tanks and mountable carrion spats on land.
enhanced space combat features a refined control scheme. for the first time on the psp system, players can also enter capital ships as they did in the console versions of star wars battlefront ii.
expanded multiplayer allows for up to 16 players via infrastructure and eight via ad hoc. (star wars battlefront ii for the psp system featured four-player ad hoc only.)
also returning are star wars battlefront staples conquest and capture the flag (one- and two-flag varieties, plus new hero capture the flag where the flag bearer plays as a hero).
infrastructure mode embraces community through leaderboards and profile pages, where players can display medals they’ve earned, their battle statistics and more.
 ",0,1,0,0,0,0,0,0,0,0
Time Crisis, ,0,0,0,0,0,0,0,0,0,0
Star Wars Battlefront II,"
star wars battlefront™ ii adds all-new space combat, playable jedi characters, and never-before-seen environments straight out of star wars: episode iii revenge of the sith.
fans of the original star wars battlefront™ will also enjoy a new single-player experience that takes you through an epic, story-based saga centering on darth vader's elite 501st legion of stormtroopers. every action you take impacts the battlefront—and the fate of the star wars galaxy!




revamped single-player experience: encounter smarter a.i. enemies and allies, plus a greater emphasis on story told through open-ended mission-based objectives. 
new space battles: dogfight in x-wings, tie fighters, jedi starfighters and several other starcraft, or fight it out on foot aboard an enemy capital ship. 
special opportunities: wield a lightsaber and use your favorite force powers as a jedi. 
new battlefronts: more than 16 arenas on land and in space, including many from star wars: episode iii revenge of the sith such as utapau, mustafar and the space battle above coruscant. 
classic trilogy locations: experience the death star interior, classic space battles, and the fight aboard the tantive iv, princess leia's blockade runner seen at the beginning of star wars: episode iv a new hope. 
online multiplayer action: play against up to 32 players on xbox live® (plus a.i. units). 
developer pedigree: created by critically acclaimed developer pandemic studios (star wars battlefront, mercenaries).



 
xbox.com ",0,0,0,0,0,0,1,0,0,0
Destiny,"destiny brings you into a bold world of action and adventure where you are a guardian of the last safe city on earth wielding incredible powers. explore the ancient ruins of our solar system as you immerse yourself in a cinematic single-player campaign. join up with friends in three or six player co-op activities. spar with your fellow players in a variety of competitive multiplayer modes. upgrade your character to create a powerful hero as unique as yourself. become legend.
source ",0,0,0,0,0,0,0,0,0,0
Super Scope 6,"super scope 6 is a light gun shooter game, developed by intelligent systems and published by nintendo,  which was released in 1992. ",0,0,0,0,0,0,0,0,0,1
Army of Two,"
army of two™ takes the buddy system to the next level. you are a soldier in a two-man squad, and all gameplay centers around two-man missions, two-man strategies, and the fact that two heads are sometimes better than one. your two-man outfit is composed of ex-army rangers now working for a private military corporation (pmc). and your task is to work hand in hand with your partner to form the deadliest army of two on the planet. your teammate may be a.i., or transfer online and play live with a friend. when one man is not enough, it's going to take an army of two to save us.




two-man gameplay: co-op isn't just a mode, it's the whole game. work with your teammate to develop two-man strategies, and use that advantage to eliminate enemies.
intelligent partner a.i.: partner a.i. (pai) has been developed to work with the way the gamer actually plays the game, taking the lead when it needs to do so, or dropping back in support at other times.
customization: weapons are upgradeable and customizable, and of course, can be shared with your partner.
online play: move seamlessly between play with computer partner a.i. to a real life partner. don't think alone, think like you're in an army of two!

xbox.com
 ",0,0,0,0,1,1,0,0,0,0
Tom Clancy's Rainbow Six, ,0,0,0,0,0,0,0,0,0,0
Max Payne 3,"the award-winning max payne franchise put players in the role of max payne, a hard-boiled new york city detective with a penchant for violence, out to avenge the death of his family. the latest installment delivers more of the classic elements and hyper-intense action that fans have come to love, while moving the story of max in a new direction.
since leaving the nypd and new york itself behind, max has drifted from bad to worse. double-crossed and a long way from home, max is now trapped in a city full of violence and bloodshed, using his weapons and instincts in a desperate search for the truth and a way out. ",0,0,0,0,0,1,0,0,0,0
Call of Duty: Black Ops,"hear the call of duty once again with this seventh entry in this blockbuster first-person shooter franchise. call of duty: black ops takes you deep behind enemy lines into the world of deniable operations as a member of an elite special forces unit engaging in covert warfare, classified operations, and explosive conflicts across the globe. with access to a variety of exclusive weaponry and equipment, your actions will tip the balance during the most dangerous time period mankind has ever known. ",0,0,0,0,0,0,1,0,1,1
The Order: 1886,"the order: 1886™ introduces players to a unique vision of victorian-era london where man uses advanced technology to battle a powerful and ancient foe.  as galahad, a member of an elite order of knights, join a centuries-old war against a powerful threat that will determine the course of history forever in this intense third-person action-adventure shooter, available exclusively on the playstation® 4 system.
 source: developer ",0,1,0,0,0,0,0,0,0,0
Tom Clancy's Ghost Recon Wildlands,"become a ghost & choose how to engage


customize your ghost and gear
forget your uniforms and standard issue gear -- in ghost recon  wildlands you’ll choose exactly what kind of special operative you want  to be. you’ll begin your journey in the wildlands by deciding who you  are and picking the gear you want to bring into the field.
when creating your character, you’ll have the ability to customize your  gender, facial features, hairstyle, tattoos, and much more. you’ll gain  access to a wide range of clothing, tactical gear, and accessories to  give your ghost a personalized look. you can hunt down the cartel in  full tactical gear or use civilian clothing if you prefer the style of  the bolivian locals. with the ability to tweak every piece of your  outfit, and billions of available combinations, how you look is up to  you.


decide how to play
co-op group up with your friends anytime, anywhere, and play through the  entire game in 2-4 player online co-op. jump in and out of online squads  whenever you choose, and you’ll always maintain your items, upgrades,  and story progression.
solo when playing solo you’ll have a team of 3 ai-controlled ghosts  providing you backup. give them orders and they’ll help you accomplish  your missions in whatever way you choose. when shifting from solo play  to co-op, you’ll bring all your single-player progress online.


choose your loadout
as an elite squad with access to the latest military tech, the ghosts  decide what weapons or tools to bring to the field. choosing what guns  to add to your loadout will let you engage with your targets any way you  like. whether you prefer to go unseen with long-range rifles and  silenced handguns, or break down the front door with assault rifles and  shotguns, the ghosts’ true-to-life arsenal will give you the tools  you’ll need for the job.
and you’ll do more than simply choose your firearm – all firearms in the  game are fully customizable, allowing you to swap out attachments to  tweak various attributes of your weaponry. the in-game gunsmith allows  you to swap out optics, muzzles, magazines, stocks, and much more, all  of which will affect the performance of your weapon. you’ll be able to  tweak your firearm’s noise, accuracy, damage, rate of fire, range,  handling, and penetration, giving you total control over how you  approach your missions.
you’ll also customize the appearance of your weapons with camouflage and  paint options, giving you even more control over your operative’s  style.
source: https://ghost-recon.ubisoft.com/





 ",0,0,0,0,0,2,0,0,0,0
Wolfenstein: The New Order,"wolfenstein: the new order reignites the series that created the first-person shooter genre. the year is 1960 and the nazis have won world war ii. war hero b.j. blazkowicz must launch an impossible counter-offensive against the monstrous nazi regime that has conquered the globe. intense, cinematic and rendered in stunning detail with id software's id tech 5 engine, wolfenstein sends players across europe on a mission to bring down the nazi war machine. infiltrate their most heavily guarded facilities, battle high-tech nazi legions, and take control of super-weapons that have conquered the earth – and beyond.
bethesda ",0,3,0,0,0,0,0,0,0,1
Rage,"
after an asteroid impacts earth, humanity  attempts to rebuild. sheltered in cryogenic lifeboats, survivors emerge  years after impact to a devastated planet where some of mankind survived  in struggling settlements or murderous bandit clans, while horrific  mutants roam the dead cities. and a mysterious tyrannical government is  on the hunt… for you.

 
xbox.com ",0,0,0,0,0,0,0,0,0,0
Gears of War: Judgment, ,0,0,0,0,0,0,0,0,0,0
Lost Planet: Extreme Condition,"driven to the brink of extinction on ice-covered wastelands, humankind fights to survive. from extreme conditions and insurgent snow pirates to hostile gargantuan alien akrid, all that you can trust are your instincts. combining a gripping single player campaign and intense multiplayer modes with support for up to 16 players online, lost planet is an epic gaming masterpiece.
 
features:

enhanced directx 10 graphics
intense multiplayer action
command heavily armored vital suits
battle hordes of colossal akrid

source - www.capcom.com (publisher) ",1,0,0,0,0,0,0,0,0,0
River Raid,"mission: code name river raid. jet down the river. break the enemy blockade and blast the bridges to halt enemy troop advances. terrain: code name river of no return. an ever-changing, ever-challenging waterway. expect huge islands, narrow channels and treacherous bays crawling with enemy choppers, tankers and jets. weaponry: code name stratostrafer. your b1 stratowing assault jet has been retrofitted with sophisticated, rapid-fire guided missiles. your craft is super-sensitive to the stick. accelerate, slow or bank radically with only a touch. tactics: jet low to the river to avoid radar. stop periodically at depots to refuel. a warning claxxon will alert you. top speed! best of luck! ",0,0,0,0,0,0,3,0,0,0
Far Cry 2,"in a collapsing central african country, the player is sent to kill “the jackal”, a mysterious character who has reignited a factional mercenaries’ conflict, jeopardizing thousands of lives.  key features 

dunia engine – the award winning ubisoft montreal dev team has tailor-made this new engine for far cry® 2. it delivers the most realistic destructible environments, amazing special effects such as dynamic fire and storm effects, real-time day and night cycle, dynamic music system, non-scripted enemy a.i. and much more.  
fire – feel the heat of the most realistic fire ever seen in a video game! use wind and propagation to surround and trap your enemies. grab your molotov cocktails or flamethrower and watch fire burn life out of all living beings. discover and learn how to use this new amazing feature that brings a new dimension to the usual fps gameplay.  
destructible environment – no more thinking about obstacles, everything is breakable and alterable, even in multiplayer mode! the dunia engine’s realtree technology also delivers the most realistic nature deterioration system ever.  
open world – experience real freedom while roaming in more than 50km2 without any loading. never a game has given you so much liberty! discover africa as if you were there thanks to amazing artistic research supported by next-gen technology to make it come to life!  
a huge adventure & hours of side quests – discover war in its rawest form! fight for two rival factions, choose your own path and make your way up to your primary target by any means necessary. feel free to explore this gigantic world and play over 70 side quests to earn help, new weapons and vehicles!  
non-scripted artificial intelligence – next generation technology brings a brand new experience to far cry® 2. be surprised by medics dragging wounded soldiers into a safe place. read fear in grunts’ eyes as your reputation and in-game actions make them want to drop their guns and run for cover. feel the tension of never knowing an enemies’ reaction thanks to a non-scripted ai and remember, in africa you are never really safe.  
real-time immersion – real-time story telling, systemic auto-healing, minimal in-game interface are just few of the features that will make you feel the tension of being alone against barbarous warlords that threaten thousands of innocent lives.  
weapons of choice – choose from a plethora of weapons to make your way to your primary target. meet the fight head-on with your machine gun, go berserk with you machete or make stealth kills as a sniper. if you feel that the atmosphere is not warm enough, ramp up your flamethrower and let your enemies and everything around them feel the heat.  
vehicles – fly, drive, run, slide and hover over the huge open world with your glider, trucks, cars, boats and much more.  
multiplayer - challenge your friends in far cry® 2 but watch your back because you never know who your true friends are and who might betray you! all the single player technical features are present in multiplayer mode, what you destroy in sp, you destroy in mp. all the modes people love to play with some new ones. 

source: ubi.com ",0,1,0,1,0,3,1,0,0,0
Conflict: Desert Storm,"conflict: desert storm, based on the events of the 1991 gulf war, allows you to lead a four-man squad of troops from one of the best known and most feared special operations forces in the world -- the u.s. delta force or the elite british sas. covert missions take you through hostile environments where only your expertise in stealth, tactics and firepower will ensure the success and safety of your men. your missions are as unpredictable as they are dangerous: from vital scud-hunting missions deep within enemy territory to highly secretive rescue and assassination operations in baghdad itself.  as the first line of defense, your objective is clear: protect freedom. ",0,0,0,0,0,0,1,0,0,0
BioShock 2,"step back into the unforgettable world of rapture in bioshock 2, the next installment in the franchise that has won more than 50 game of the year awards. developed by 2k marin, 2k australia and digital extremes, bioshock 2 provides players with the perfect blend of explosive first person shooter combat, compelling storytelling and intense multiplayer
single-player features

evolution of the genetically enhanced shooter: innovative advances bring new depth and dimension to each encounter. new elements, such as the ability to dual-wield weapons and plasmids, allow players to create exciting combinations of punishment
return to rapture: set approximately 10 years after the events of the original bioshock, the story continues with an epic, more intense journey through one of the most captivating and terrifying fictional worlds ever created 
you are the big daddy: take control of bioshock’s signature and iconic symbol with the original prototype big daddy, and experience the power and raw strength of rapture’s most feared denizens as you battle powerful new enemies
continuation of the award-winning narrative: new and unique storytelling devices serve as the vehicle for the continuation of one of gaming’s most acclaimed storylines

multiplayer features:

genetically enhanced multiplayer – earn experience points during gameplay to earn access to new weapons, plasmids and tonics that can be used to create hundreds of different combinations, allowing players to develop a unique character that caters to their playing style.
experience rapture’s civil war– players will step into the shoes of rapture citizens and take direct part in the civil war that tore rapture apart.
see rapture before the fall – experience rapture before it was reclaimed by the ocean and engage in combat over iconic environments in locations such as kashmir restaurant and mercury suites, all of which have been reworked from the ground up for multiplayer.
fps veterans add their touch to the multiplayer experience – digital extremes brings more than 10 years of first person shooter experience including development of award-winning entries in the unreal® and unreal tournament® franchise.

www.2kgames.com
  ",0,1,0,1,0,1,0,2,0,2
Tom Clancy's Rainbow Six 3,"in tom clancy’s rainbow six® 3, the third installment in the wildly popular rainbow six series and first endeavor onto next-generation platforms, team rainbow races against time to stop terror and prevent an impending war.
lead team rainbow around the world, from europe to the united states to south america, as they embark on a critical mission aimed at disrupting terrorist plots and easing international tension.
 



immersive story line: see spectacular events that directly affect gameplay.
squad-based action-oriented gameplay: keep the excitement flowing.
movie-quality cinematics: immerse yourself in the world of team rainbow.
enhanced real-time order system: use voice-activated commands to stay in charge!
streamlined online multiplayer capability: find new friends and foes on xbox live®.



 
xbox.com ",0,0,0,0,0,0,0,0,0,0
BioShock 2,"step back into the unforgettable world of rapture in bioshock 2, the next installment in the franchise that has won more than 50 game of the year awards. developed by 2k marin, 2k australia and digital extremes, bioshock 2 provides players with the perfect blend of explosive first person shooter combat, compelling storytelling and intense multiplayer.
single-player features

evolution of the genetically enhanced shooter: innovative advances bring new depth and dimension to each encounter. new elements, such as the ability to dual-wield weapons and plasmids, allow players to create exciting combinations of punishment
return to rapture: set approximately 10 years after the events of the original bioshock, the story continues with an epic, more intense journey through one of the most captivating and terrifying fictional worlds ever created 
you are the big daddy: take control of bioshock’s signature and iconic symbol with the original prototype big daddy, and experience the power and raw strength of rapture’s most feared denizens as you battle powerful new enemies
continuation of the award-winning narrative: new and unique storytelling devices serve as the vehicle for the continuation of one of gaming’s most acclaimed storylines

multiplayer features:

genetically enhanced multiplayer – earn experience points during gameplay to earn access to new weapons, plasmids and tonics that can be used to create hundreds of different combinations, allowing players to develop a unique character that caters to their playing style.
experience rapture’s civil war– players will step into the shoes of rapture citizens and take direct part in the civil war that tore rapture apart.
see rapture before the fall – experience rapture before it was reclaimed by the ocean and engage in combat over iconic environments in locations such as kashmir restaurant and mercury suites, all of which have been reworked from the ground up for multiplayer.
fps veterans add their touch to the multiplayer experience – digital extremes brings more than 10 years of first person shooter experience including development of award-winning entries in the unreal® and unreal tournament® franchise.

www.2kgames.com
  ",0,1,0,1,0,1,0,2,0,2
Dishonored, ,0,0,0,0,0,0,0,0,0,0
007: The World is Not Enough,"the world is not enough features 14 single-player missions that employ a variety of different first-person shooter gameplay styles. in one level bond is required to chase a criminal across a maze-like city while fighting off enemy thugs and avoiding civilian casualties. in another our hero finds himself swimming through an underwater submarine, advancing not only forward and backward, but up and down to as he descends deeper into the sunken structure's belly. each scenario is not only different in design, but in overall gameplay mechanics too. for example, swimming through a sunken submarine requires a bit of strategy, as bond will have to find well-hidden air pockets in the ship just so that he can breathe and stay alive. on the other hand, taking out enemy trash in the subway system level really only requires 007 to point, aim and shoot, disposing of thug after thug as he makes his way through the mission.   ",0,0,0,0,0,0,2,0,0,1
Battlefield V,"multiplayer the battlefield way
see what's new in battlefield v.
more ways to defend and destroy
 
teamwork is the key to victory.
v-1 rockets. supply drops. tanks with flamethrowers. earn reinforcements to tilt the match in your squad's favor.
 
a different kind of destruction.
blast. dismantle. wreck. be creative and watch the rubble and debris fall.
your sandbox. your rules.
fortify destroyed buildings and structures. re-shape the battlefield to your squad's advantage. take control.
every battle is unique
new fronts. new game modes. mankind's greatest conflict.
source: https://www.ea.com/games/battlefield/battlefield-5/about ",0,0,0,0,0,0,0,0,0,0
Die Hard Trilogy,"you may think one game isn't enough -- but do you have what it takes for three games in one? give it your best shot, or at least die trying. you're at the center of three totally different, thrill-packed adventures playing detective john mcclane as he takes on a highly trained team of international terrorists. it's non-stop action with any adventure you choose, each delivering amazing depth, palm-sweating realism and detail packed into 45 awesome levels.
playstation ",0,0,0,0,0,0,0,0,0,0
Xevious,"players control their solvalou ship and destroy the xevious forces. fire the zapper missiles against air-based enemies and drop the blaster bombs down upon ground-based targets. destroy andor genesis to earn bonus points. unique enemies, interesting background music, a variety of vertically scrolling background environments and many hidden game play features differentiated xevious from the other shooting games released at the time. are you devious enough to beat xevious? ",0,0,0,0,0,0,0,0,0,0
Dead Space 2,"

 

engineer isaac clarke returns for another blood-curdling adventure in the sequel to the critically acclaimed dead space™.
after waking from a coma on a massive space city known as “the sprawl,” the lone survivor of a horrific alien infestation finds himself confronting the catastrophic new nightmare. battling dementia, hunted by the government, and haunted by visions of his dead girlfriend, isaac will do whatever it takes to save himself and dominate the gruesome onslaught.
with an arsenal of tools to dismember necromorphs and new determination, an engineer will bring the terror to space.
http://www.ea.com/dead-space-2

 

 ",0,0,0,0,0,0,0,0,0,0
Call of Duty: Black Ops II,"pushing the boundaries of what fans have come to expect from the  record-setting entertainment franchise, call of duty®: black ops ii  propels players into a near future, 21st century cold war, where  technology and weapons have converged to create a new generation of  warfare.
a time-spanning, generation-spanning narrative,  call of duty®: black ops 2 introduces players to an insidious villain  named raul menendez who hijacks the us military infrastructure to  further his own agenda. harness the power of near-future technology and  advanced robotics to pull the world back from the brink of annihilation.
key game features

an all-new call of duty®: black ops ii storyline featuring new characters and returning characters
a unique single-player campaign that contains two time periods linked by characters and their actions
special strike force missions, in which the players action affect the outcome of gameplay and the overall campaign
a variety of multiplayer modes and play options

source: publisher ",2,0,0,0,0,1,0,0,0,0
Call of Duty: Modern Warfare: Reflex Edition,"

a rogue enemy is threatening the world, and it will take the strategy and technology of some of the world's most powerful forces to neutralize the threat. arm yourself with an incredible arsenal of modern weaponry and get ready to prove you have what it takes to survive the relentless dangers of modern warfare. but remember — technology alone cannot guarantee your survival. in a fight where speed, accuracy and communication are essential to victory, your wits will serve you just as well as your weapons.take on the world as both a u.s. marine and a british s.a.s. soldier as the gripping excitement of call of duty 4: modern warfare comes to the wii in call of duty: modern warfare — reflex edition. see modern war come alive in all its danger and immediacy with powerful, immersive graphics that thrust you into the brutal heart of battle. wield any of an array of advanced weapons and gear, including assault rifles with laser sights and m-249 saw machine guns. take a friend with you into battle in new squadmate mode, which allows two players to play side by side on a single screen, or go online to experience incredible multiplayer action in any of the game's modes, including team deathmatch, domination and search & destroy. combine sophisticated technology, incredible firepower and coordinated land and air strikes to triumph over your enemies as you navigate the relentless twists and turns of modern warfare.  
features

 play as both a u.s. marine and a british s.a.s. soldier battling a rogue enemy 
 wield any of more than 70 incredible weapons and gear, including assault rifles with laser sights, claymore mines, .50 caliber sniper rifles and m-249 saw machine guns 
 see the brutality of modern warfare explode around you courtesy of immersive graphics and amazing special effects 
take to the battlefield side by side with a friend in new squadmate mode, which allows the activation of two wii remotes so you and your squadmate can support each other on a single screen 
enjoy multiplayer in any of the game's modes, including team deathmatch, free for all, domination, sabotage, headquarters, search & destroy and arcade 
 dominate opponents online via air strikes, attack helicopter support, unlockable abilities and sophisticated weaponry 
 adjust the control settings to customize your gameplay experience 
 features full wii zapper support (wii zapper not included)


stunning visuals – featuring immersive graphics and amazing special effects, call of duty: modern warfare: reflex is the most visually impressive wii game to date.
unparalleled wii multiplayer – the best multiplayer action in gaming comes to wii with full support for perks, challenges, kill streaks, and customizable classes. all game modes including team deathmatch, free for all, domination, sabotage, headquarters, search & destroy, and arcade mode are now available. jump on the nintendo wi-fi connection to dominate opponents online with air strikes and attack helicopter support, unlockable abilities, and sophisticated weaponry.
authentic advanced weaponry – featuring an arsenal of more than 70 weapons and gear including assault rifles with laser sights, claymore mines, .50 caliber sniper rifles, and m-249 saw machine guns, call of duty: modern warfare: reflex has you locked and loaded to accomplish the mission.
squadmate mode – for the first time, play through the epic campaign of modern warfare side-by-side with a friend on a single screen. at any moment, a second wii remote can be activated, giving the second player their own aiming crosshair to support their squadmate with additional firepower. 
optimized for wii zapper™ – completely customizable control settings and full wii zapper support adds a new layer of depth to the visceral action of modern warfare. 
 ",1,1,2,0,2,3,2,0,1,0
Call of Duty 3,"
the #1 world war ii franchise for the next generation
the follow-up to the #1 next-generation game, call of duty®3 delivers the intensity of being closer than ever to the fury of combat during the normandy breakout, the historic campaign that made the liberation of paris possible and brought the allies a step closer to berlin. through a seamless narrative that delivers the rush of unrelenting battle and breathtaking action, players assume the roles of four ordinary allied soldiers—american, british, canadian and polish—and are thrust onto an authentic, living battlefield for an unprecedented variety of combat, with advanced high-definition graphics, detailed character animations and explosive on-screen action, delivering the most immersive and cinematically intense war experience ever.
key features:• the power of next-gen – built from the ground-up for next-gen consoles, call of duty 3 brings the battle to life with advanced graphics, a new physics engine, a procedural environment and detailed ensemble animations that deliver the most cinematic war experience ever.• battle actions – an all-new close-quarters battle mechanic allows players to fight hand-to-hand, improvise explosive devices, disarm traps and execute a host of other battlefield situations that require cunning and rapid reflexes to survive.• branching mission paths – next-generation level design provides multiple attack routes that let players decide how to confront the enemy – flank an opponent, or hit him head-on. each unique mission path requires special tactics, from sniping and demolition to all-out head-on clashes.
duty 3 brings the battle to life with advanced graphics, a new physics engine, a procedural environment and detailed ensemble animations that deliver the most cinematic war experience ever.• battle actions – an all-new close-quarters battle mechanic allows players to fight hand-to-hand, improvise explosive devices, disarm traps and execute a host of other battlefield situations that require cunning and rapid reflexes to survive.• branching mission paths – next-generation level design provides multiple attack routes that let players decide how to confront the enemy – flank an opponent, or hit him head-on. each unique mission path requires special tactics, from sniping and demolition to all-out head-on clashes.• nowhere to hide – environmental physics allow players to destroy enemy soft cover hideouts, forcing foes out in the open. but be wary, opponents can eliminate your protective cover as well.• team-based multiplayer with vehicles – combined arms and team-based combat provides unprecedented depth and variety by allowing up to 24-players on next generation consoles (xbox 360 and playstation® 3 ) to battle it out online with the option of single or split-screen internet play. gamers have the choice to play as infantry or commandeer multiple-occupancy vehicles, including tanks, jeeps, and motorcycles with side-cars, leading to unique mobile combat roles for all-out, multiplayer mayhem. call of duty 3 also offers soldier classes, each with class specific abilities, and a ranking system for truly diversified squad combat.
* multiplayer platform information- xbox 360 video game and entertainment system from microsoft (up to 24 players online)- playstation® 3 computer entertainment system (up to 24 players online)- wii ™ (no multiplayer feature)- playstation® 2 computer entertainment system (up to 16 players online)- xbox video game and entertainment system from microsoft (up to 16 players online)
activision
 ",1,4,0,0,1,0,3,0,3,0
Turok: Dinosaur Hunter,the mantle has been passed. you've become protector of the earth. you are now turok dinosaur hunter. ,0,0,0,0,0,0,0,0,0,0
Red Faction II,"
twenty-second century earth. five years after the rebellion on mars.
for the last 15 years, sopot, the corrupt dictator, has oppressed the people of the commonwealth. his relentless pursuit of unification with the neighboring united republic has left the country soaked in unnecessary bloodshed and poverty. propaganda is plastered throughout communities and a public information building, built as a tribute to the self-centered chancellor, spews news broadcasts with claims of victory as more and more soldiers fall victim. fed up after years on the front lines, a group of super-soldiers injected with nanotechnology vow to replace the dictator and restore peace.
defend your country as alias, a demolitions expert, with the help of your five squad members, each specializing in their own method of destruction. fight through diverse levels using vehicles, an arsenal of specialized weapons and massive explosives in your rampage to overthrow the government.

revamped geo-mod™ engine - the only fps with real-time, arbitrary geometry modification
all new storyline & characters - fight as a member of an elite squad of six
enhanced graphics and pre-rendered cut scenes for a completely immersive experience
utilize four varied vehicles in combat including a tank, hover flyer and submarine
acquire superior firepower from multiple boss battles
fourteen specialized weapons of mass destruction including dual-handed combinations
all new inventory of useful items - health kits, night vision, numerous grenades and more
stealth, puzzle solving and action oriented objectives
advanced ai behavior - ai works in squads and reacts realistically to each combat situation
experience alternate endings based on style of combat - good or bad ""karma""


source: www.thq.com ",0,0,0,1,0,2,0,0,0,0
Counter-Strike,"“counter-strike,” the world’s most popular online action game and first-person shooter for the pc, makes its console debut exclusively on xbox and xbox live. “counter-strike” features single-player missions taking place over a gritty realistic counterterrorist world, and allows gamers to challenge other players in team-based multiplayer games on xbox live and system link. “counter-strike” on xbox will be the most graphically advanced version of the series to date, showcasing the technical prowess of xbox, including immersive, intense multiplayer action on xbox live. in addition, players will benefit by strategizing and communicating with their teammates via the xbox live communicator headset. ",0,0,0,0,0,0,0,0,0,1
Crysis: Warhead,"
in crysis warhead, players will don the nanosuit of sergeant sykes, also known as ‘psycho’, one of the most memorable characters from crysis. more brash and aggressive than his delta force squadmate nomad, players will experience psycho’s parallel story during the events of the original game, finding that life on the other side of the island is even more intense and explosive than they ever could have imagined. luckily, psycho’s nanosuit is just as capable and he’s equipped with an even bigger arsenal of fully customizable weapons and new vehicles, giving players access to the tools they need to dominate any situation.
crysis wars features three multiplayer modes, including teaminstantaction, a new match type that mixes fast-paced action in a team-based environment, in addition to the insanely frenetic gameplay style of instantaction and the hardcore team-based powerstruggle, both of which return from crysis. the game will include 21 maps, six new maps for teaminstantaction and instantaction, and one for powerstruggle and crytek will also have a support team dedicated to meeting the needs of the crysis wars community.
official description from crytek studios.
 ",0,0,0,0,0,1,0,0,0,0
Dirge of Cerberus: Final Fantasy VII,"dirge of cerberus is the third installment of the compilation of final fantasy vii, taking place three years after the original game. dirge of cerberus has been dubbed a ""shooter rpg"", combining gameplay from both first person shooters, and the typical role-playing game. 
the game is formatted for the playstation 2, and is scheduled for a japan 
release sometime in 2005. you play the role of vincent valentine, the ex-turk 
and mysterious gunman from the original final fantasy vii. the game is being 
developed by square-enix. ",0,0,0,0,0,0,0,1,0,0
Medal of Honor: Frontline,"head back behind enemy lines with lt. jimmy patterson in medal of honor frontline™. in this installment of the smash-hit medal of honor series, lt. patterson returns and must infiltrate the german frontline to steal the ho-ix flying wing, an experimental nazi weapon so powerful it could turn the tide of world war ii.
levels and missions
20 levels spread across 6 major missions, all based on real world war ii events.
 immersive environment
fully realised and highly-detailed 3d environments, taking full advantage of your console's graphical capabilities.
 authentic wwii weapons
over 20 authentic wwii weapons, including the colt .45, springfield sniper rifle, panzerschreck rocket launcher, mg42 mounted machine gun, and browning automatic rifle.
 enemy vehicles
enemy vehicles including panzer and tiger tanks, trucks, motorcycles with sidecars, and armored railway scout cars.
 intense non-combat-based scenarios
intense non-combat-based scenarios, such as a disguised, weaponless infiltration of an officer’s pub brimming with gestapo to make contact with a dutch resistance operative.
 authentic wwii content
authentic wwii content with the assistance of the smithsonian’s ho-ix expert russ lee and renowned technical consultant capt. dale dye.
 congressional medal of honor society
the medal of honor team continues to work closely with the congressional medal of honor society to ensure the ideals and integrity of this prestigious commendation.
 
source - www.electronicarts.co.uk (publisher) ",0,2,1,0,0,1,3,0,0,0
Metro: Last Light, ,0,0,0,0,0,0,0,0,0,0
