Name,Summary,casino,singstar,sing,poker,party,guitar,trivia,rock,music,songs
2 Games in 1 Double Pack: Finding Nemo / Monsters Inc., ,0,0,0,0,0,0,0,0,0,0
LEGO The Lord of the Rings, ,0,0,0,0,0,0,0,0,0,0
Killzone: Mercenary, ,0,0,0,0,0,0,0,0,0,0
BUZZ! Quiz World,"the buzz! franchise is back and better than ever with the series’ encore performance on the playstation®3 computer entertainment system, buzz! quiz world. developed by relentless software, buzz! quiz world provides an ultra-realistic quiz show experience, putting you and your friends in the contestants’ seats.
buzz! quiz world for ps3 allows players to define their buzz! quiz experiences exactly how they want with several new customization and personalization options. players can choose to play a short or long game and they can even select the round types and question topics.
buzz! quiz world for ps3 tests players’ trivia talent with over 5,000 new questions, enhanced online multiplayer “sofa vs. sofa” action, and exciting new rounds and characters, all in a glitzy new tv-studio setting. utilizing the fun and easy-to-use buzz! wireless buzzers helps players to top off this totally immersive quiz show experience.
key features

buzz! puts you at the heart of the show – with hundreds of player names to choose from to create your own personal profile, buzz! now gives commentary in the game about you, your family and friends and how you’re playing!
make the game you want to play – choose the rounds you want to play, the subjects you want to answer and make the game you want to play in the most customizable buzz! quiz game yet.
buzz! quiz world for ps3 features over 5,000 new general knowledge questions including hundreds of pictures and videos.
new rounds and new contestant characters add more fun to your quiz. send your friends into the goo in the new ‘over the edge’ round, or prey on your opponent’s knowledge in ‘on the spot.’
take on friends and family with 8 player local multiplayer quizzing.
go online with the enhanced ‘sofa vs. sofa’ mode and challenge the nation, or the world!
download extra premium quiz packs exclusively from playstation network and extend your quiz experience.
create your own quizzes with mybuzz! about any topic imaginable and add them to your game. the quizzing now need never end!
get your buzz! face on’ with playstation®eye support – take pictures during your buzz! games at key moments and relive your highs, lows and glorious victories!

--fact sheet ",0,0,0,0,0,0,1,0,0,0
Namco Museum,"the xbox® video game system gets the classic treatment as an all-new namco museum™ hits home with all the retro gaming goodness that this series is famous for—only now it's bigger and better than ever! itching to get your hands on yesteryear's hottest arcade hits? well, look no further as namco transports you back to the good old days when gameplay was king. no tokens needed!
this title is playable on xbox 360™ with a software emulator. please see http://www.xbox.com/en-us/games/backwardscompatibility.htm for more details.
xbox.com ",0,0,0,0,0,0,0,0,0,0
Sonic Mega Collection Plus,"
loaded with hyper-speed ring collecting fun, sonic mega collection plus™ features sonic's early adventures that turned the blue dude with a 'tude into one of the first video game superstars. both long time fanatics and newcomers to the series will enjoy the infectious fun of these 13 sonic games and four other sega classics. this redesigned, expanded collection also includes loads of bonus materials and a sonic museum filled with art, comics, and more.



seven of the most-loved sonic games of all time:

sonic the hedgehog®
sonic the hedgehog® 2
sonic the hedgehog® 3
sonic & knuckles™
sonic 3d blast™
sonic the hedgehog® spinball™
dr. robotnik's mean bean machine™
plus three sonic lock-on games (from sonic & knuckles)

six sega game gear® games:

sonic the hedgehog®
sonic chaos™
sonic drift™
sonic labyrinth™
dr. robotnik's mean bean machine™
sonic blast™

unlockable sega genesis® games:

the ooze™
comix zone™
flicky™
ristar™



xbox.com
 ",0,0,0,0,0,0,0,0,0,0
DJ Hero,"the company’s groundbreaking dj hero   expands guitar hero ’s signature social gaming to all-new consumers with the addition of diverse music genres including hip-hop, r&b, motown, electronica and dance. introducing an all-new innovative turntable controller,dj hero   transforms players into djs who rule the club scene by creating original mixes of popular songs and music from the world’s most exciting artists and djs. ",0,0,0,0,0,1,0,0,2,1
Reus, ,0,0,0,0,0,0,0,0,0,0
Buzz! Master Quiz,"
packing over 3000 questions on topics including music, celebrities, tv, sport, science, nature, movies and more, buzz! master quiz puts gamer’s knowledge to the test at home or on the move. with six new round types specifically designed for psp including the speed-is-of-the-essence ‘quickfire challenge’, the picture-puzzler ‘picture this’ and the mind-boggling ‘virus challenge’, each round also comes complete with pictures and videos .
 
source - www.us.playstation.com 
 ",0,0,0,0,0,0,0,0,0,0
Samba De Amigo,"the samba-inspired rhythm music game made popular in the arcades is shaking its way onto the wii™! keeping the beat with over 40 songs on a samba-inspired sound track, players shake the wii remote™ and nunchuk™ like maracas and compete with friends to see who has the best moves. throughout the dynamic songs there will be opportunities to strike a pose for extra points. friends and family will be thoroughly entertained cheering each other on as they anxiously await their next turn.  features: a brand new dual wii remote control option gives players’ untethered, maraca-shaking freedom with two remotes or the wii remote and nunchuck.fun for two players in competitive or cooperative multiplayer modes, including love love mode where two players synch up their moves to earn points and test their compatibility.the samba-infused soundtrack features over 40 upbeat, festive favorites from the original game, plus many new tunes.online leaderboards and friends lists let players post their best scores and compare them to their friends’ scores.multiple game modes include career, single player, multiplayer, training and records.special modes expand gameplay with quick play, classic, battle, survival, hustle and mini-games.--sega  ",0,0,0,0,0,0,0,0,1,2
SingStar Anthems,"it's time to unleash your inner diva. don your most glamorous outfit, step into the spotlight and get ready to perform an all-time classic anthem – your audience is waiting. the sixth in the popular series, singstar anthems is a fusion of classic tunes and diva’esque anthems that will make you want to let loose and go for it, think ‘priscilla queen of the desert’ meets ‘kylie showgirls’ tour. and with 170 tracks now available over the singstar range, it's the perfect excuse for you to take centre stage. release the star within and sing-a-long to favourites from an expansive track list covering everything from old favourites such as gloria gaynor and candi staton to modern-day divas like charlotte church and the scissor sisters. and with 20 original tracks and music videos, singstar anthems will make you want to take the spotlight and sing them ‘til your throat hurts. you don’t have to perform solo – with team contests and head-to-head sing-offs, the competition to be number one is hotting up. find out which of your friends could sell out stadiums and whose singing is best suited to the shower. with technology that recognises your pitch, tone and rhythm, singstar scores you depending on how well you perform. the better you sing, the more points you’ll be awarded. ",0,4,1,0,0,0,0,0,1,0
Buzz! Quiz TV,"this fall buzz!™, the popular quiz show franchise, makes its way for the first time to the playstation®3 computer entertainment system with buzz!™ quiz tv. developed by relentless software, buzz! quiz tv comes packed with buzz! wireless buzzer peripherals for an easy, pick-up-and-play game show experience. combining to deliver over 5,000 questions divided into five different genre channels (music, movies & tv, sports, brainiac and lifestyle), the new channel hopper mode allows players to switch between the different categories of questions in order to play a variety of quizzes that lets all your friends get into the action.  source - www.us.playstation.com  ",0,0,0,0,0,0,0,0,0,0
Buzz! The Mega Quiz,"developed by relentless software, buzz!™ the mega quiz is an all-new interactive quiz game. buzz! the mega quiz is an easy to play, tv-style game show that delivers a socially competitive experience tailor-made for the playstation® generation with over 5000 questions across a variety of topics and genres, including fashion, music, sports, film and more. buzz provides an accessible gaming experience that is played competitively by real people using one of four pick up and play buzz! buzzers. the buzzers are fun to hold, easy to use and come packed in with the game. key features tv-style presentation – buzz! the mega quiz brings the ultimate interactive game-show to your living room.accessibility – easy to use “buzzers” and the general knowledge themes on a huge variety of categories allows just about anyone to pickup and play.social competitive gaming – buzz! the mega quiz is the perfect party starter and a great way to get up to eight of your family and friends playing together.get quizzed on everything– with over 5000 questions spanning a full range of subjects that include film, sports, history, music and even buzz's own brand of wacky trivia.over 14 contestants to choose from and five game play modes (multiplayer, single, team, quickfire, quiz master).source - www.us.playstation.com ",0,0,0,0,1,0,0,0,1,0
Rock Band 3,"rock band 3 is the ultimate social and interactive music game. featuring innovative game modes and instruments, rock band 3 will change the way fans think about and play music games. 

rock band 3 has something for everyone. master an instrument through the gameplay fun of rock band pro, add another member to your band with a keyboard controller, or experience 83 new hits from 83 unique bands, along with your current library of songs from the over 1,500 songs available to date and counting. ",0,0,0,0,0,0,0,4,2,2
Tales of Xillia 2, ,0,0,0,0,0,0,0,0,0,0
Peppa Pig: The Game, ,0,0,0,0,0,0,0,0,0,0
Michael Jackson: The Experience,"no artist in history has commanded the stage like michael jackson, the  undisputed king of pop. with over 800 million albums sold worldwide and  13 #1 singles in the u.s, there is no doubt that michael jackson’s music  influenced pop culture as we know it today. michael jackson the  experience is the ultimate performance game featuring the world’s  ultimate performer - providing an interactive experience that enables  players to step into the shoes of michael jackson himself and re-live  his most iconic moments through their own performance. michael jackson  the experience includes the original songs you know and love from his  extensive catalog, including billie jean and beat it, and proves that  anybody can groove like the king of pop!features:xbox kinect:-  single player gameplay, multiplayer dance challenges, dance crew  performances and jump-in/jump-out features make the experience the  ultimate party game.- a crew of expert backup dancers and michael’s  dance school help take your performance to the next level – great for  beginners and experienced performers.- next gen technology allows  players to interact with the music in new and amazing ways, letting them  star in their own michael jackson video.- players have the option  to sing along to their favorite tracks while simultaneously showing off  their dance moves, providing the ultimate pop star experience.- kinect version leverages proprietary player projection technology that puts their image in the game.
 
ubisoft ",0,0,1,0,1,0,0,0,2,1
The Evil Within, ,0,0,0,0,0,0,0,0,0,0
Wizards of Waverly Place,"wizards of waverly place allows fans to play as their favourite wizard-in-training, alex russo, who is played by rising star selena gomez on the show, casting magical spells and participating in mini-games to complete tasks and acquire new magic skills. players can experience the lives of the russo kids as they explore locations from the show, including the waverly sub station, the wizards lair, tribeca prep, the russo loft and many more. ",0,0,0,0,0,0,0,0,0,0
SingStar '90s,"grunge. r&b. pop. the '90s was a decade of memorable music and videos. singstar '90s includes iconic artists such as mc hammer, vanilla ice, paula abdul, r.e.m., stone temple pilots and many more. rock out to addictive songs such as u can't touch this, ice ice baby, and other '90s hits! so grab the mics, prep your voice, and throw a jammin' party with singstar '90s.  source - www.us.playstation.com  ",0,2,0,0,1,0,0,1,1,1
Wii Fit U,"
fitness that fits

already have a wii balance board™? this bundle is perfect for you - wii fit u + fit meter - $49.99 msrp*
wii fit u reinvents fitness fun again with the wii u gamepad controller, wii balance board accessory, and the new fit meter**. carry the fit meter accessory to track daily activity, then sync it to your wii u to compare accomplishments online***. with over 70 activities, wii fit u makes fitness so fun it motivates you to get active and stay active!

shape up with a wide range of fun activities including yoga, strength exercises, balance games, dance, aerobic activities, and more.
whether at home or on the go, the all-new fit meter tracks your progress, from calories burned to steps taken - even changes in elevation.
with the touch of a button, you can easily sync your fit meter data to compare your progress with friends or see how far you’ve gone in walking challenges, altitude challenges, and more.
enjoy new and unique dual-screen activities like hosedown or trampoline target that take advantage of the wii u gamepad controller and your tv.
the wii u gamepad offers both privacy and flexibility. by providing a second screen, it lets you perform activities while others watch tv, view personal progress on your own private screen, or even watch and adjust your form using the built-in camera.
create, join, and browse online gym communities to share profile info (e.g. achievements, high scores, favorite activities) to keep yourself, your friends, and your family motivated.
create your own personalized workout routine with yoga, strength exercises, and other activities or select from recommended routines based on your fitness goals.
the new dance activity allows you to choose from a variety of dance styles with varying difficulty levels.

already have wii fit u? the wii fit u quick check application on nintendo eshop gives you access to certain features of wii fit u without having to insert the disc. quickly sync your fit meter data or access the following features:

body test
fit meter challenges
user settings
calendar
graph information
the notice board
source: 
nintendo 


 ",0,0,0,0,0,0,0,0,0,0
Guitar Hero: Warriors of Rock,"guitar hero: warriors of rock breathes new life into gamers' current guitar hero music libraries providing literally hundreds of hours of replayability with the introduction of quickplay+, which features 13 totally unique gameplay challenges for every on-disc track as well as most downloadable and importable songs from guitar hero world tour forward. 

gamers will complete challenges such as band streak, high score and power challenge, which allows players to choose any two warrior powers they have unlocked to try and earn ridiculously high scores, to rank up and unlock more rewards and content than ever before. all-new challenge leaderboards have been created in order to capture the outrageous scores that are capable with quickplay+.

guitar hero: warriors of rock features more than 90 tracks that include guitar shredding hits from bands such as black sabbath, megadeth and slipknot and larger than life anthems from queen, muse and kiss. additionally, dave mustaine of megadeth wrote and recorded ""sudden death,"" an original track for the game, which was inspired by quest mode's storyline. along with original songs, the set list also includes special re-records by famous artists and tracks from bands that are making their music video game debut. ",0,0,0,0,0,5,0,2,2,1
Pictionary,"

a whole new way to play pictionary™!

ready?   set?  draw!  welcome to the game of pictionary – guess words from  sketches made by other members of your team.  the words can be objects,  people, actions, places, animals, or the challenging “difficult”.   you  don’t have to be an artist to play – all you need is a little  imagination and the udraw gametablet!


over 3,000 clues
draw with several drawing styles, shape tools and colors
3 game modes: pictionary game show, pictionary mania, & free draw

http://us.thq.com/us/game/detail/5878

 ",0,0,0,0,0,0,0,0,0,0
DJ Hero 2,"picking up where the award-winning dj hero soundtrack left off, dj hero 2 spins together the hottest tracks blazing up the charts and legendary club anthems from the biggest artists in pop, dance and hip hop including dr. dre, the chemical brothers, kanye west, metallica, lady gaga, rihanna and over 85 others.  

fueling the party will be a host of social multiplayer game modes and innovative freestyle gameplay giving virtual dj's the ability to crossfade, scratch and sample in over 70 speaker-blowing mashups from the hottest dj's and producers around the world, including deadmau5 - part of dance music's elite - who will be starring as an in-game playable character. ",0,0,0,0,1,0,0,0,0,0
Yu-Gi-Oh! Dark Duel Stories,"video game version of the collectable card game based on the hit yu-gi-oh! television series is here!
become the most powerful mystic duelist in the universe!
construct your deck, duel rivals, gain experience and ultimately face off with the four rulers of the heavens, the keepers of the fabled millennium items.  planning your strategy well is the key!  use fusion and offer commands to increase the power of your attacks!
create a deck from over 10,000 unique game cards!

duel against many of the characters from the animated tv show
import cards from the offical card game to create more powerful decks
mix and match card parts to create more powerful cards with the construction feature
duel head-to-head and trade cards with your friends (requires a game boy game link cable, sold separately)

souce - back of box ",0,0,0,0,0,0,0,0,0,0
The Game of Life,"the classic family board game loved by generations now comes to life! with the game of life, choose college or a career, get married, start a family, buy a house, and eventually retire. will you spend your golden years at countryside acres or millionaire estates? take a spin and find out with the game of life! ",0,0,0,0,0,0,0,0,0,0
Karaoke Revolution Glee,"calling all ""gleeks!"" for the very first time, fans will get a chance to  perform their hearts out in this year's version of karaoke revolution  glee. filled with the show's main characters, memorable scenes, and the  unforgettable songs from season 1, players of all ages will experience  glee like never before. belt it out to chart-topping glee tunes, reenact  scenes with friends and family, take center stage and own the moment on  wii this fall!
features:

perform to popular  chart-topping tunes - sing up to 30 top hits from season 1 
gleek out to  never-before-seen clips from the show  - perform to video  montages including exclusive, unreleased show moments 
reach hard-hitting  notes to perfect your singing skills - test your singing ability by belting it out  to long, challenging notes in a myriad of ballads and show performances
play alongside your  favorite glee club character - perform with characters from the show,  including rachel berry, finn hudson, will schuester, and the rest of the cast
compete in  multiplayer singing games - play with  a friend in duet or co-op mode to perfect  your vocal harmonies, or  play in an interactive shooting star mode with up to 6  players
unlock bonus content - play through an immersive scrapbook mode and unlock themed items to customize  your very own glee scrapbook

http://www.konami.com/games/karaoke-revolution/krglee ",0,0,1,0,0,0,0,0,0,1
The Price is Right,"come on down! the price is right™ video game brings all the excitement of the tv show to the consoles and computers of fans of all ages. the longest-running and most popular game show of all time is now making its debut on wii™, nintendo ds™, pc, and mac®. experience all of the classic moments from the show with up 4 people. you will hear your name called as you’re announced to “come on down!” to contestant’s row. play all of the favorite pricing games, including plinko, cliff hangers and punch-a-bunch. spin the wheel for the chance at the big prizes in the showcase showdown! features:

play all of the best pricing games - play plinko, hole in one, punch-a-bunch, cliffhangers, three strikes, shell game, it’s in the bag, flip flop and many more! make your way out of contestant’s row, spin the big wheel, and compete to take home the big money in the showcase showdown. 
real moments from the show - rich fields will tell you to “come on down” as you start an authentic price is right experience. the actual music and sounds of the show are used in the game. additionally, classic video footage of the price is right models will introduce the games and items up for bid. 
a party game for everyone - fans of all ages can compete against each other for big money and fabulous prizes. party game mode is for up to 4 players. in single- player mode play through the game as a real contestant or try to beat your top score on individual pricing games. the game is rated e for everyone. 
specialized wii controls - use your wii remote™ to spin the big wheel, putt your way through hole in one, drop a plinko chip, or take a swing at punch-a-bunch. 
unlock classic moments - special achievements will unlock additional video footage of some of the all-time most memorable price is right moments.
 ",0,0,0,0,2,0,0,0,1,0
SingStar Vol. 2,"singstar® vol. 2 features 30 new music tracks that allow groups of friends to sing along with real music videos of their favorite artists. experience singstar’s online features and personalize your content by purchasing songs, uploading video’s/photos, and rating the performances of others. singstar vol. 2 features a new harmony duet mode and psp® remote play.
game features

30 new tracks with artist including the police, radiohead, the cure, young m.c and more. 
singstore™ allows you to build your perfect singstar playlist by offering hundreds of songs and videos to purchase. 
connect to my singstar® online and share your favorite singstar moments by uploading photos and performances. 
psp remote play functionality (via wireless internet connection) allows you download songs and create you new track list remotely, browse and rate performances, and leave comments. 
up to 8 players can perform and compete in a variety of multiplayer game modes. 

www.us.playstation.com
  ",0,3,1,0,0,0,0,0,2,2
Guitar Hero: Warriors of Rock,"guitar hero: warriors of rock breathes new life into gamers' current guitar hero music libraries providing literally hundreds of hours of replayability with the introduction of quickplay+, which features 13 totally unique gameplay challenges for every on-disc track as well as most downloadable and importable songs from guitar hero world tour forward. 

gamers will complete challenges such as band streak, high score and power challenge, which allows players to choose any two warrior powers they have unlocked to try and earn ridiculously high scores, to rank up and unlock more rewards and content than ever before. all-new challenge leaderboards have been created in order to capture the outrageous scores that are capable with quickplay+.

guitar hero: warriors of rock features more than 90 tracks that include guitar shredding hits from bands such as black sabbath, megadeth and slipknot and larger than life anthems from queen, muse and kiss. additionally, dave mustaine of megadeth wrote and recorded ""sudden death,"" an original track for the game, which was inspired by quest mode's storyline. along with original songs, the set list also includes special re-records by famous artists and tracks from bands that are making their music video game debut. ",0,0,0,0,0,5,0,2,2,1
Who Wants to be a Millionaire,"who wants to be a millionaire? is a trivia / game show game, developed by hothouse creations and published by eidos interactive,  which was released in europe in 2000. ",0,0,0,0,0,0,1,0,0,0
Guitar Hero: Metallica,"“ride the lightning” with musical icons metallica and over 20 other rocking acts in an all new guitar hero experience - guitar hero: metallica. enter the world of lars ulrich, james hetfield, kirk hammett and robert trujillo and experience the intensity and skill of one of the greatest bands of all time. shred on guitar, rip on drums and wail on the mic to a set list featuring over 45 explosive hits from metallica’s illustrious career and a wide variety of other legendary artists personally selected by the band, such as alice in chains, foo fighters and queen. fans will be able to rock as metallica while performing in venues reminiscent of the band’s epic album covers, themes from their music and real world locales.  features:

becoming the band for the first time ever, guitar hero metallica will allow fans to come together and thrash as the explosive, world-renown metal and rock band, metallica, whose album sales have exceeded 100 million worldwide. transform into metal legends lars ulrich, james hetfield, kirk hammett and robert trujillo as full body scans and signature moves motion capture allow players to virtually experience the high intensity of a metallica performance.
live like metal legends follow the path of the metal legends in either single instrument or band career game modes playing as the band to a soundtrack of their greatest hits while also rocking with over 20 additional artists selected by the band. featuring in-the-round stage designs and custom camera angles new to guitar hero, further highlighted by custom lightshows, special effects and encores, gamers and metallica fans alike can fulfill their rock ‘n’ roll fantasies in a variety of new and famous settings, ranging from tushino airfield to the forum. all venues reflect metallica’s most memorable tours including themes from their album artwork to offer the authentic metallica atmosphere.
drum like lars in addition to using the redesigned, more responsive and advanced guitar hero world tour guitar controller and microphone, metallica fans will truly be able to pound like lars on the drums with a second bass pedal compatible with the guitar hero world tour drum kit controller. the all-new “expert+” difficulty level gives gamers access to the double bass drum note track which offers the authentic metallica experience with a note-for-note translation of many tracks appearing in-game and adds a new difficulty option to all gameplay modes.
seek and destroy immerse yourself in themed battle mode attacks, such as briefly blacking out your fellow rocker’s note track or modifying the amp overload to include the signature metallica lightening.
test your metal after nailing a song, test your metallica know-how by replaying the song with trivia pop-ups. the on-screen displays give information about the song being played, and with guest artist songs, information about how the band is tied to metallica will be displayed along with details such as band history and lyrics.
off to never never land guitar hero metallica is loaded with tons of bonuses throughout the game, such as unlockable venues, commentary, videos and behind the scenes footage, giving all metallica fans exclusive content to enjoy.
all that remains guitar hero metallica cranks all the great features, gameplay and fun of guitar hero world tour to a new level with updates to the music studio featuring samples from james hetfield’s esp truckster guitar and of slayer fame, tom araya’s signature esp bass guitar, ghtunessm, and the rock star creator. online game modes allow competing gamers to see who tops the charts in face-off, pro face-off, eight-player “battle of the bands” and battle mode as well as the online quickplay mode that allows up to four gamers to shred together regardless of physical location.
 ",0,0,0,0,0,11,1,4,2,0
Hasbro Family Game Night 3,"the hasbro family game night 3 collection of titles will appeal to the entire family with versions of their favorite game brands  brought to life in a new theme park setting with the  loveable mr. potato head returning as the host and park guide.  featuring both classic and remixed versions, players can spin the wheel of fate in the game of life, find out ""whodunit"" in clue, tie themselves in knots with twister, trigger crazy chain reactions in mouse trap, and try their hand at yahtzee hands down.

hasbro family game night 3 will also crank up the fun factor with local multiplayer capability and full mii integration to add a personal touch to the experience. ",0,0,0,0,0,0,0,0,0,0
Rayman Raving Rabbids 2,"the rabbids strike again!the mischievous bunnies are back in a hilarious sequel that is guaranteed to be even crazier and funnier than the first – and with even more wacky games! they've invaded the world of rayman, and now the insane rabbids have a new objective: invade planet earth! they have established their base at a shopping mall and begun training for their nastiest scheme yet. as part of this training, the rabbids must carry out several missions around the globe to help them in an attempt to dominate the world. the rabbids will also try to study human behavior by mimicking everything we do…but in the rabbid sort of way, with no logic…of course. rayman is back and will try to warn the world of the invasion of the rabbids by taking photographs of them and exposing them to the world!key features

a wacky game! warning: the ds version contains heavy loads of rabbid humour and funny mini-games, just like the wii version! 
up to 36 completely bizarre mini-games adapted to ds gameplay: use the stylus, microphone and dual screens to fight off the rabbid invasion 
play rhythm games with the raving rabbids rock band! play on classic hits, remixed in a rabbid way! 
with the score mode, keep your best scores on your cartridge, and challenge your friends! 
create your own raving rabbid! draw on the rabbid with the stylus, and dress it with up to 60 items, unlocked during the game! interact with your rabbid, tickle it, and record your voice with the microphone to make it speak, sing or scream! 
play with up to four people with only one cartridge shared between four ds's

source: ubi.com ",0,0,1,0,0,0,0,1,0,0
Guitar Hero: Aerosmith,"featuring aerosmith master tracks, including top 40 hit ‘sweet emotion,’ and an original composition by joe perry.    hottest opening tracks by superstar bands perform other iconic tracks by rock & roll heroes chosen by aerosmith, such as: cheap trick, joan jett, and many more.
rock out the aerosmith way walk this way through the career of aerosmith starting with their first concert at nipmuc high school.  be joe perry and shred alongside steven tyler at some of the most memorable venues from aerosmith’s career.   party offline or show off online share the limelight and combine your stellar skills with friends during co-op play to accomplish your highest scores yet! challenge others during head-to-head online competition and reach aerosmith-level rock-stardom.
activision.com ",0,0,0,0,1,0,0,2,0,0
Dead Island: Riptide,"

they thought they had escaped banoi, but can’t wake up from this nightmare. thrown back into the midst of the zombie outbreak, the fight for survival continues!
dead island riptide takes players to the island of palanai on the banoi archipelago, infested with bloodthirsty zombies and only a few remaining survivors still fighting for their lives. introducing new terrifying enemies, deadly weapons, a new playable character and much more, dead island riptide will draw players back into a world that has grown corrupt – with the last rays of hope vanishing in rising tides.
source: deepsilver.com
 ",0,0,0,0,0,0,0,0,0,0
Band Hero,"this holiday season, the biggest music event of the year will hit living rooms around the world as family and friends come together to ascend the virtual stage and rock their way to superstardom with band hero™. brought to you by the makers of guitar hero®, one of the best-selling video game franchises of all time, band hero brings a new genre of music focused on today's hottest hits and classic anthems.  headlined by some of music’s biggest names as playable characters such as taylor swift and adam levine of maroon 5, band hero is the ultimate party game where players of all ages will be able to experience the signature, easy-to-learn guitar hero® gameplay.  taking social gameplay to new heights, band hero™, allows fans to create the band they have always dreamed of using any combination of guitar or drum controllers and vocals, providing a new generation of rockers and performers the chance to experience and interact with their favorite music.
www.activison.com
  ",0,0,0,0,1,3,0,1,2,0
DJ Hero 2,"picking up where the award-winning dj hero soundtrack left off, dj hero 2 spins together the hottest tracks blazing up the charts and legendary club anthems from the biggest artists in pop, dance and hip hop including dr. dre, the chemical brothers, kanye west, metallica, lady gaga, rihanna and over 85 others.  

fueling the party will be a host of social multiplayer game modes and innovative freestyle gameplay giving virtual dj's the ability to crossfade, scratch and sample in over 70 speaker-blowing mashups from the hottest dj's and producers around the world, including deadmau5 - part of dance music's elite - who will be starring as an in-game playable character. ",0,0,0,0,1,0,0,0,0,0
Buzz! The Hollywood Quiz,"buzz!™ the hollywood quiz is the latest star-studded installment of the new social gaming series that delivers the world’s greatest hollywood trivia event live in your living room. celeb buffs will be challenged to test their tinsel town knowledge on over 5,000 questions on topics that include hollywood’s biggest box office hits and the lifestyles of its most glamorous stars. as the follow-up to this holiday’s family-friendly hit, buzz!™ the mega quiz, this new installment features hundreds of movie clips, pictures, celebrity images, and more. fun and easy to use buzz! buzzer peripherals complete the interactive game show experience that will have you and up to eight of your friends and family members buzzing for more. source - www.us.playstation.com  ",0,0,0,0,0,0,1,0,0,0
DJ Hero,"the company’s groundbreaking dj hero   expands guitar hero ’s signature social gaming to all-new consumers with the addition of diverse music genres including hip-hop, r&b, motown, electronica and dance. introducing an all-new innovative turntable controller, dj hero   transforms players into djs who rule the club scene by creating original mixes of popular songs and music from the world’s most exciting artists and djs. ",0,0,0,0,0,1,0,0,2,1
Rare Replay, ,0,0,0,0,0,0,0,0,0,0
ABBA: You Can Dance,"from  the creators of the award-winning just dance franchise and  michael  jackson the experience comes abba you can dance. featuring 26  timeless  songs, including “dancing queen,” “mamma mia,” “fernando,”  “waterloo,”  and “take a chance on me,” abba you can dance invites you  to hit the  dance floor and relive the golden era of pop music with one  of world’s  biggest music sensations. dance with up to four players or  sing along;  abba you can dance is unforgettable fun for friends and  family of every  generation.
 
the timeless music of abba
enjoy   all the hits — 26 in all — from abba’s rich catalog of classic songs,   now digitally remastered for wii and your home entertainment system.
 
you can dance 
designed   for the “dancing queen” or “fernando” of the group, you can dance for   fun or set a new top score to challenge yourself and others. play any   way you want with up to four friends.
 
mini-musical 
perform   a story through the music of abba! experience the magic as you play a   role in a mini-musical arrangement of abba’s songs. play across 26   different backgrounds!
 
sing along 
form   a musical ensemble with up to two additional friends on vocals. anyone   can easily join in on the fun and follow along with the on-screen   lyrics. in addition to a dedicated karaoke mode, you can form a musical   ensemble in game with up to 2 additional friends on vocals.
 
original abba content
enjoy authentic abba content, including their music videos, live concert footage, and classic photos!
 
 
- ubisoft ",0,0,2,0,0,0,0,0,5,0
Lips,"
microsoft takes to a whole new stage with lips, an all-new music franchise exclusively for xbox 360®. lips is the only singing game offering wireless motion sensitive microphones and the ability to sing from your own collection of drm-free songs. start channeling your favorite pop star because it's you, your friends, and most importantly, your music that makes this the ultimate party experience this holiday. keiichi yano, celebrated developer behind some of the industry's most beloved rhythm games, brings his vision of collaborative and social musical entertainment to the first and only singing game offering interactive sound effects and the music to make your party rock all night long. toss your apprehensions out the window and join the party.




two wireless interactive microphones: featuring stylish interactive motion sensors and lights, the microphones respond to the singer's actions and can be utilized as percussion accompaniments. with the freedom and encouragement provided by the high quality wireless microphones, everyone can live out their singing dreams in style.
the best music: lips ships with a diverse selection of songs, including your favorite blasts from the past like ""bust a move"" by young mc, as well as new songs from breakout artists like ""mercy"" by duffy, and ""young folks"" by peter bjorn and john.
sing to your music collection: customize your experience with the songs that matter most by singing along with friends to any drm-free music from your own personal collection.
play along: using the standard xbox 360 controller, up to four people can join the fun and choose from a variety of percussion accompaniments to play along. by placing control of various tambourines, claps, and of course, the ubiquitous cowbell, at the finger tips of anyone with a controller, you have a social entertainment experience for friends, family, and kids alike!
constant flow of new music: from the songs that come with the game, to your own music collection, and the ability to download new tracks from xbox live® marketplace, lips continuously provides new music to bring people together and keep the party going.

xbox.com
 ",0,0,2,0,3,0,0,1,7,3
Caesars Palace 2000: Millennium Gold Edition,"caesars palace, a las vegas icon that represents high-stakes gambling, has come to the playstation in the form of caesars palace 2000. the second update of the original, this title offers all the games you'd find in the landmark casino--blackjack, roulette, craps, mini baccarat, slot machines, video keno, video poker, poker challenge, pai-gow poker, red dog, war, spanish 21, and more. you'll not only make your wagers with authentic caesars palace cards and chips, you'll be playing under official house rules. and don't worry--if you hit the skids, you can always borrow money from one of the cashiers. also, interplay has gone to the trouble of having the game's odds verified by math analyst william bertram, so you'll know that lady luck isn't playing any favorites. the only things you'll miss from this game are room service, the lounge acts, and possibly a motorcycle ramp. 

 features:
a large variety of games including blackjack, roulette, craps, mini baccarat, slot machines, and poker
authentic caesars palace cards and chips
official caesars palace house rules
friendly cashiers loan money to down-on-their-luck players
odds verified by math analyst william bertram 

 ",0,0,0,2,0,0,0,0,0,0
Legend of Grimrock, ,0,0,0,0,0,0,0,0,0,0
