Name,Summary,blocks,colored,bubbles,puzzles,tiles,bomberman,sudoku,puyo,tetris,puzzle
The Room, ,0,0,0,0,0,0,0,0,0,0
Dr. Mario / Puzzle League, ,0,0,0,0,0,0,0,0,0,0
Bust-A-Move '99,"think you've busted with the best?  not until you've faced bust-a-move '99! with intense 2 player competition, all new graphics, and create-a-level mode, you've never busted bubbles like these! and with 8 new mysterious characters to save, you'll be bustin' like crazy to solve all the puzzles and send them home!

features: 
intense 2 player action
thousands of bubble busting puzzles to choose from!
compete against 8 new characters!
 ",0,0,1,2,0,0,0,0,0,0
Kurushi Final: Mental Blocks,"bringing a new meaning to the phrase 'mental block', iq final dares you to test your intelligence against a higher power, 9 mind-stretching stages, plus 2-player survival mode, 100 additional challenges and a custom-puzzle generator, iq final is a supreme test of mental and physical agility. ",0,0,0,0,0,0,0,0,0,0
Beautiful Katamari,"
the king of all cosmos and the prince have returned in amazing next-generation brilliance in beautiful katamari™! the game that took the videogame world by storm is set to continue rolling with new stages, cousins, and visual style.
play as the prince or one of the cousins, new and old, to roll up objects in all-new stages and missions as you explore this brand new creative experience. with this new era, the hit style of gameplay is able to present an experience only hinted at in previous versions. seamless katamari growing and animated presents add to the experience that has captivated hardcore and casual gamers everywhere.




rolling in 720p: katamari leaps into the next generation with an upgrade into the hd era with increased visual depth and seamless katamari growth.
new soundtrack: pick up items at your leisure to a brand new catchy soundtrack.
new levels: new levels and objects present more craziness to conquer like keeping your cool and collecting frosty items in the ice house!
new characters: new cousins join the fun to bring the total to over 50 playable characters, each with their own quirky animations and style.
offline multiplayer: share the experience with another player as you race to collect more objects than each other. tired of battling it out? make peace and work together in co-op mode to roll the same katamari. make sure your communication skills are working at peak efficiency!
online multiplayer: for the first time ever, the katamari franchise rolls into the online world. compete with your friends to roll up everything or as many specific objects as possible. as you're waiting for more online players, take part in the lively mini-games that populate the lobby and spread the word of katamari damacy.
downloadable content: the world's ever-changing as your game will continue to give you joy through downloadable content ready to give you a fresh experience every time you fire up your system.

xbox.com
 ",0,0,0,0,0,0,0,0,0,0
Kirby's Block Ball,"kirby's block ball is an action game, developed by hal labs and published by nintendo,  which was released in 1996. ",0,0,0,0,0,0,0,0,0,0
Tetris 2 + Bombliss, ,0,0,0,0,0,0,0,0,0,0
Puzzle & Dragons X: God Chapter / Dragon Chapter, ,0,0,0,0,0,0,0,0,0,0
Bust-A-Move Universe,"pop-n-drop!

bust-a-move busts out of your screen in full 3d!

clear dozens of all-new challenging levels as you explore an entire 3d universe filled with puzzle fun!

-summary from back of box  ",0,0,0,0,0,0,0,0,0,1
Catherine,"vincent likes his girlfriend.  katherine's pretty, smart, and  successful.  trouble is, she's starting to talk about long-term  commitment, something vincent's spent his entire life avoiding.  since  romantic complications are the last thing he wants to deal with, vincent  meets his friends for their regular night of drinks.  little does he  know that he's about to be blindsided by a beautiful, seductive,  irresistible freight train named catherine.  suddenly, he's hung over in  bed next to the most beautiful woman he's ever seen, unsure about the  previous night's events.  was it just making out, he wonders, or did  something more serious happen between them?  should he tell katherine?   will he ever see catherine again?  vincent's about to find that a  stumble on the staircase of love can turn into a horrific, fatal  plummet...  key features

the horrors of love--vincent's waking  fears, doubts, pressures, and growing guilt about commitment and  fidelity now gleefully follow him into his dreams, manifesting as  horribly disfigured monsters and a ticking clock.
between a rock and a soft place--the player must navigate  vincent through heavy moral decisions.  as in real life, hardly anything  is black and white.  what is the value of honesty?  what is the right  thing to do?  either way, someone's going to get hurt.  worse yet,  someone could die.
the nightmare of your dreams--under the watch of producer katsura hashino, acclaimed director of persona 3 and persona 4,  famed character artist shigenori soejima and master composer shoji  meguro create sights and sounds unlike anything else.  as unforgettable  and original as the game's narrative, catherine's visual  direction and musical score define and perfectly complement vincent's  terrifying ascent into the dizzying perils of love.
escape with or from a friend--local competitive and  cooperative multiplayer modes, in addition to leaderboards, ensure that  the many thrills and horrors of racing through twisted stages can be  enjoyed by more than one player and add hours of extra gameplay to the  overall experience.

- atlus ",0,0,0,0,0,0,0,0,0,0
7 Wonders II,"
enjoy newly enhanced and interactive gameplay with incredible animation  that surpasses even the original!
7 wonders instantly transports you back in time to far away lands to  complete an unbelievable mission: building the 7 wonders. this new  adventure introduces you to forgotten, yet magnificent structures such  as stonehenge and the taj mahal. you'll be dazzled with incredible new  power-ups and bonuses and intrigued as you receive pieces of a hidden  map, which ultimately uncovers a secret route leading to a wondrous  sight that only the best get to see.
whether you are returning to 7 wonders or new to the game, 7 wonders ii  will mystify you!
key game features:

same great game; totally fresh look and feel
explore, learn about and build 7 new wonders
explosive new power-ups such as the single cell bomb and timer  freeze
choose what section of the wonder to build and track your progress.




source - developer press release: http://www.gamespot.com/ds/puzzle/7wondersoftheancientworld2/news.html?sid=6176092&mode=press ",0,0,0,0,0,0,0,0,0,0
Foto Frenzy: Spot The Diffrence,"spot the difference and you’re a winner in this hard-to-resist puzzle game. compete collectively or individually in fast paced photo fun, using just one ds cartridge for up to four players! over 200 themed photographic puzzles means hours of fun for players of all ages! own the game that everyone already loves! foto frenzy!


over 5000 challenges
play with up to 4 players using one cart
more than 200 puzzles
use touchscreen to see the difference

storm city games  ",0,0,0,2,0,0,0,0,0,1
Math Play,"put your math skills to the test as you arrange colorful numbered cards and create equations in four challenging game play modes. with a variety of difficulty levels, competitive multiplayer action and addictive puzzle play, math play is a wonderful game for the whole family, young and old alike. no matter how you play, it adds up to great fun!

natsume  ",0,0,0,0,0,0,0,0,0,1
Spin Jam, ,0,0,0,0,0,0,0,0,0,0
KuruKuru Kururin,"a simple concept with a completely awesome challenge!
easy to learn but difficult to master, once you start you'll never be able to stop! attempt to reach the goal, by navigating the rotating helicopter through increasingly narrow labyrinths while avoiding the moving obstacles. every mission needs a steady hand and nerves of steel! enjoy multi-player action with a single game pak, simply link multiple game boy advance systems and race against your friends!
*back of box (pal) ",0,0,0,0,0,0,0,0,0,0
Lumines ll,"lumines ii is the highly anticipated sequel to the extremely addictive puzzle-based video game, lumines. to play, gamers control squares made of four smaller block pieces that are dropped into the playing field one at a time to form same-color rectangles. the vertical “timeline” sweeps across the playing field from left to right and wipes the same-color rectangles from the playing field. unmatched blocks pile up, and the game ends when the pile gets to the top of the playing screen. advance through many action-packed levels, each with its own musical theme and sound effects.

licensed soundtrack featuring songs and music videos by cutting edge musicians – beck, black eyed peas, chemical brothers, fatboy slim, the go! team, gwen stefani, hoobastank, junior senior, missy elliott and new order. includes songs from junkie xl, stigmato inc, mondo grosso, ken ishii and techriders
wireless two-player ad hoc gameplay
more than 60 skins
100 puzzles to solve in puzzle mode and 50 missions to clear in mission mode
all new sequencer mode, skin edit mode, replay theater and play history
all new sensational 3d backgrounds
all new graphics featuring streaming video
includes original song and music video “heavenly star” produced by tetsuya mizuguchi
 ",1,0,0,1,0,0,0,0,0,1
Super Bomberman 5,"planet bomber is in danger! emperor terrorin has used the power of time to free criminal bombers from their prisons and unleashed them on the world! shirobon and kurobon must stop the criminals, then face off against emperor terrorin himself! ",0,0,0,0,0,0,0,0,0,0
LYNE, ,0,0,0,0,0,0,0,0,0,0
Angry Birds: Star Wars,"
a long time ago in a galaxy far, far away! join an epic adventure with the angry birds in the legendary star wars™ universe! use the force, wield your lightsaber, and blast away pigtroopers on an intergalactic journey.

featuring:

hours and hours of engaging game playing! explore more than 200 levels in iconic locations like tatooine and the pig star.
new gameplay mechanics! use lightsabers, blasters and jedi powers to wreak havoc on the imperial pigs!
level up your birds! keep playing and level up your birds to improve their skills!

source: official site ",0,0,0,0,0,0,0,0,0,0
I Spy: Spooky Mansion,"discover a thrilling i spy adventure hidden in a mysterious old house! a clever skeleton traps you inside his spooky mansion with a challenge to find his secret way out. explore each room of the house in first-person perspective to reveal over 30 i spy riddles. solve i spy riddles, earn clues and play brain-teasing games to uncover the mansion's secret escape! ",0,0,0,0,0,0,0,0,0,0
Bejeweled 3,"discover all-new ways to play the world’s #1 puzzle game! find your  perfect match with 8 breathtaking game modes that meet all your moods —  including classic, quest, lightning and zen. enjoy the amazing sights  and sounds. earn flashy achievement badges. engage in endless  gem-matching fun, and soar to dazzling new heights!
 
popcap games ",0,0,0,0,0,0,0,0,0,1
Talon Man Remastered,"now in 240p
source: ryuu
https://www.vgchartz.com/game/221289/super-smash-bros-2018/
https://www.vgchartz.com/game/221289/super-smash-bros-2018/
https://www.vgchartz.com/game/220318/talon%20man%20remastered/ ",0,0,0,0,0,0,0,0,0,0
TouchMaster: Connect, ,0,0,0,0,0,0,0,0,0,0
The New Tetris, ,0,0,0,0,0,0,0,0,0,0
Mah Jong Quest: Expeditions,"classic tile-matching fun with an intriguing twist!
nature has struck back! the world has fallen into a state of imbalance, splitting our teenage hero kwazi into the male kwazi white and female kwazi black. you must help guide the kwazi’s through the mysterious orient meeting wise animals and solving challenging and entertaining boards along the way. advance through the eight mystical lands, matching pairs and triplets like never before.
mah jong quest expeditions takes the traditional tile-matching game  and adds intriguing twists and 64 new, exciting game variations.  featuring an engaging storyline and epic soundtrack, spend many  addictive hours practising your hand to eye coordination with the  interactive nintendo ds touch screen.
only you can restore harmony  to the kwazi’s world!
features:

128 exciting layouts to choose from
8 mystical lands to explore
12 power-up tiles
3 modes of play - quest, classic & puzzle
unlimited gameplay for a new game experience each time
engaging storyline and sweeping animations
epic soundtrack
over 4 million mah jong quest pc players worldwide

http://www.avanquest.com/uk/software/mah-jong-quest-expeditions-ds-112422 ",0,0,0,0,1,0,0,0,0,1
Puzzle Quest: Challenge of the Warlords,"building upon the addictive and easy-to-learn gameplay of a puzzle game        by integrating story and character progression elements found in rpgs,        puzzle quest: challenge of the warlords delivers a brand new type of        game that pushes the puzzle genre to a previously unseen level.
 

 unique and addictive gameplay that builds upon classic puzzle gameplay          with the addition of rpg-style character and story elements 
 incredibly simple to learn for casual players, with seasoned gamers          able to utilize deeper strategies 
 for the first-time ever in a puzzle game embark on an epic          single-player campaign comprising more than 150 challenging quests 
 quick-play mode allows players to immediately jump into puzzle battles 
 create and build a persistent hero, from one of 4 unique classes; who          gains skills, spells, weapons and more over the course of the game 
 customizable characters give players the ability to fight battles with          unique strategies 
 build your empire as you capture cities, build castles and gain a          party of companions that will aid you in battle 
 battle other warlords for supremacy via wireless multiplayer 

nintendo ",0,0,0,0,0,0,0,0,0,6
Feel the Magic XY/XX,"prologue
the day he saw her as they passed on the street, it was love at first sight. but being an ordinary, shy boy, he could never get a girl like her.being the most sought after girl in high school, she had the brains, body, and smile that made all of the guys' hearts melt.what should have ended in a crush was suddenly turned upside down when an unusual man with bunny ears on his head suddenly appeared.this leader of the super performance group, the rub rabbits, gave our hero the chance to earn the affection of his dream girl.with a fish tank and some crazy stunts, he embarks on a love story unlike any other...


join the rub rabbits so you can feel the magic™ xy♥xx

win the girl of your dreams by performing madcap stunts and rescuing her from danger
rub, touch, shout, and blow to control the game
extra game modes and unlockable costumes

rescue your true love by using your breath to create sail wind
use the stylus to steer your car and head off your rival
 
- from game back cover and instuction booklet ",0,0,0,0,0,0,0,0,0,0
Neopets Puzzle Adventure,"appealing to both casual gamers and neopets fans, neopets puzzle adventure is the only multi-platform puzzle adventure game based on the popular virtual community. for the neopets fan, neopets puzzle adventure is a must-have game with its intuitive “pick up and play” gameplay, new never-before-seen areas in the neopets universe to explore and the opportunity to redeem codes for exclusive virtual items at neopets.com.the game board itself resembles a chess board, while the gameplay takes the principles of reversi and go, and adds new twists that take the adventure to unexpected levels. the goal is to turn all of the chips on the board to your neopet’s color.neopets.com is a global community with an active virtual economy based on caring and rasing virtual pets, collecting neopoints, and taking part in daily and weekly creativity contests, discussion boards, quests and thousands of virtual items. it’s called the “stickiest site on the web,” with it’s tweener audience spending an average of three hours per week on the website. with an in-depth and exciting storyline based on the world of neopets, and an entire virtual world to explore, neopets puzzle adventure is the ultimate puzzle-adventure game for players everywhere.

neopets puzzle adventure will generate codes that can be redeemed for unique items on the neopets.com website
choose and customize one of 12 neopets to be your central character in the story
travel through three lands of neopia as you experience an epic story with more than 150 quests in the single-player game
“co-operative” and “head-to-head” multiplayer matches
collect 150 “petpets” for extra abilities and earn 30 special awards for completing missions
collect over 300 items, recipes and treasures, many of which can be equipped on your pet to provide useful bonuses 
 ",0,0,0,0,0,0,0,0,0,5
Jewel Quest Mysteries: Curse of the Emerald Tear,"jewel quest mysteries: curse of the emerald tear is a puzzle game, developed and published by avanquest software,  which was released in europe in 2010. ",0,0,0,0,0,0,0,0,0,1
Carol Vorderman's Sudoku,carol will talk you through a number of topics including: an introduction to sudoku: learn the origins and rules of this popular puzzle. a step-by-step guide on how to play the game that has become a global obsession. carol will lend a hand and help you solve an entire puzzle from start to finish.  ,0,0,0,0,0,0,0,0,0,1
Cake Mania 2: Jill's Next Adventure!,"
first, she re-opened the evans bakery. then she sent her grandparents on an exotic hawaiian cruise. now, jill evans is back in an all-new, out-of-this-world adventure! help jill's college friend risha in her posh rooftop bakery; rescue her old flame, jack, in his underwater theme park located on the ocean floor, or wind up in 4 other far-flung bakery locations. with each choice leading to new baking challenges and dilemmas, what awaits jill - fame, fortune, or love? in cake mania 2 the decision is yours!  

the sequel to the award-winning online pc hit cake mania from sandlot games that has been downloaded 70 million times worldwide!  
includes more than 200 levels of baking and frosting madness  
brand new branching, non-linear storyline lets you decide which path jill will take. includes 6 possible endings! 
customize jill's bakeries with 50 unique kitchen upgrades: ovens, shoes, frosters, display stands, microwaves, tvs, toppers and frosterators.
18 all-new demanding customers, ranging from federal agents to mysterious aliens, keep jill on her toes
10 deliciously different cake styles with 6 fabulous frostings
8 wild cake toppers for earning extra cash
see how you measure up in a new endless baking mode 

majesco ",0,0,0,0,0,0,0,0,0,0
Angry Birds: Star Wars,"
a long time ago in a galaxy far, far away! join an epic adventure with the angry birds in the legendary star wars™ universe! use the force, wield your lightsaber, and blast away pigtroopers on an intergalactic journey.

featuring:

hours and hours of engaging game playing! explore more than 200 levels in iconic locations like tatooine and the pig star.
new gameplay mechanics! use lightsabers, blasters and jedi powers to wreak havoc on the imperial pigs!
level up your birds! keep playing and level up your birds to improve their skills!

source: official site ",0,0,0,0,0,0,0,0,0,0
Puyo Puyo! 15th Anniversary, ,0,0,0,0,0,0,0,0,0,0
M&M's Blast!, ,0,0,0,0,0,0,0,0,0,0
Angry Birds: Star Wars,"
a long time ago in a galaxy far, far away! join an epic adventure with the angry birds in the legendary star wars™ universe! use the force, wield your lightsaber, and blast away pigtroopers on an intergalactic journey.

featuring:

hours and hours of engaging game playing! explore more than 200 levels in iconic locations like tatooine and the pig star.
new gameplay mechanics! use lightsabers, blasters and jedi powers to wreak havoc on the imperial pigs!
level up your birds! keep playing and level up your birds to improve their skills!

source: official site ",0,0,0,0,0,0,0,0,0,0
Pac-Pix,"drawings turned into ghosts by a fluid called ""ghost ink"" are causing trouble in every book and painting, and it's up to pac-man to wipe them out!
using your ds stylus you draw the basic pac-man shape and watch him come to life, munching his way through the touch screen. maneuver your pacman drawing pathlines that he'll follow to eat all the ghosts. there are several usefull items you can draw:

arrows. draw one and it will shoot itself reaching the upper screen, bringing down to the touch screen anything in its path.
bombs.

classic ghost eating with a new twist.
source: <a href=""http://www.vgchartz.com/profiles/profile.php?id=8369"">*leunam</a> ",0,0,0,0,0,0,0,0,0,0
Ratatouille: Food Frenzy,"help remy and his friends impress the critics and get la ratatouille a 5 star rating by serving up 10 delicious gourmet dishes. food frenzy features the main characters of the movie serving up a new recipe for fun in this addictive puzzle game that takes advantage of the nintendo ds™ touch screen interface.

play 7 challenging cooking-based mini-games.
help remy and his friends create 10 gourmet dishes.
sort and chop vegetables, cook the meals, and present your culinary masterpieces!
use the nintendo ds™ stylus to chop vegetables.
cool your dishes by blowing into the nintendo ds™ microphone.

game website ",0,0,0,0,0,0,0,0,0,1
Super Nazo Puyo: Ruruu no Ruu, ,0,0,0,0,0,0,0,0,0,0
Super Collapse! 3,"
collapse your way to fun and adventure as super collapse! 3 busts its        way onto the nintendo ds system.
explore the ever-shifting world of super collapse! 3, the latest        addition to the smash-hit super collapse! franchise, as each level        presents new and challenging ways to test your skill and speed.
super collapse! 3 introduces quest! where you can explore fun and unique        stages for hours of frenzied adventure. and for the collapse!        aficionado, new variations plus your classic favorites in quick play        deliver endless, back-to-back challenges.
features

 play quest! or quick play games 
 exciting new power-ups, including row bombs, hourglass and combination          row-column bombs 
 high score lets you post your scores for each of the game modes 
 full of brand-new puzzles for the puzzle lover 
 unique mini-games that will keep you sharp and wanting more 

it's addictive, pulse-pounding excitement that'll leave you begging for        more!
 
nintendo ",0,0,0,1,0,0,0,0,0,1
Are You Smarter than a 5th Grader? Game Time,"find out if you are smarter than a 5th grader! face jeff foxworthy's jokes as you try to answer more than 5,000 game time questions. become a whiz kid in over 25 categories. play like the show or try your hand in brand new game time modes including three & out and schoolroom showdown. try your hand at extra credit mini games to boost your gpa. and if you think you're the smartest in the room, play against your friends and family in four-player challenges. ",0,0,0,0,0,0,0,0,0,0
Angry Birds Trilogy, ,0,0,0,0,0,0,0,0,0,0
TouchMaster 3(Others sales),"in touchmaster 3, up to two players can work through a collection of 20 puzzle, action, card, strategy, and word challenges with new elements such as badges, trophies, and wizard points to give players endless hours of replay. the game features action, card game, strategy and trivia genres in competitive single player, two person multiplayer and download play options. gameplay options include triples plus, slime assault, bumperball and dice king 2. ",0,0,0,0,0,0,0,0,0,0
Polarium,"                                     with minimalist black and white design and an electronicasoundtrack,        polarium is a stylish, engrossing tile-based puzzler that will hook you        from your first play. clear space for the tiles falling from the top        screen by removing rows of tiles in the lower screen; do this by        flipping blocks, rows and columns of tiles from black to white or vice        versa by marking them on the touch screen with the stylus. create an        entire row of black or white and it will vanish. there are also neutral        grey tiles which can help you achieve your goal – an advantage you’ll        definitely need, as the difficulty ramps up as you move deeper into the        action! with 100 puzzles to master along with an option to create your        own tile-teasers – plus a two player mode that lets you compete        wirelessly against a friend – polarium is a puzzler’s paradise.source - www.nintendo.com ",0,0,0,1,4,0,0,0,0,0
Shatter,"shatter is a retro-inspired brick-breaking game that merges familiar action with unique twists and a modern crafted production approach.
key features:

innovative controls, physics effects, power-ups, special attacks, and boss battles which combine to provide an experience that is always interactive;
story mode, boss rush, bonus mode, and all new game modes endless mode, endless co-op multiplayer, time attack mode and time attack co-op multiplayer;
a vibrant 3d style presented across 10 distinct worlds in high resolution;
a fully scored soundtrack featuring over 90 minutes of award winning original music;
steam leaderboards and achievements for all modes.

from sidhe interactive ",0,0,0,0,0,0,0,0,0,0
Tetris Effect,"named after a real-world phenomenon where players’ brains are so engrossed that images of the iconic  falling tetrimino blocks (i.e. the tetris playing pieces) linger in  their vision, thoughts, and even dreams, tetris® effect amplifies this  magical feeling of total immersion by surrounding you with fantastic,  fully three-dimensional worlds that react and evolve based on how you  play. music, backgrounds, sounds, special effects—everything, down to  the tetris pieces themselves, pulse, dance, shimmer, and explode in  perfect sync with how you’re playing.
from deep beneath the ocean to the furthest reaches of outer space  and everywhere between, tetris® effect’s 30-plus stages take players on a  wondrous, emotional journey through the universe. the core of the game  is still tetris—one of the most popular puzzle games of all time—but  like you’ve never seen it, or heard it, or felt it before.
get in the zone: includes the all-new “zone” mechanic, where players can stop time  (and tetriminos falling) by entering “the zone” and either get out of a  sticky situation that could otherwise lead to “game over,” or rack up  extra line clears for bonus rewards.
level up: over 30 different stages, each  with its own music, sound effects, graphical style and background that  all evolve and change as you play through them.








ps4 or ps4 pro (& optional ps vr!): fully playable on either a standard display (up to 4k and 60fps on a ps4™pro), or optionally in mind-blowing 3d on ps vr.
play your way: fan-favorite modes like marathon, sprint, and ultra, with more all-new modes and other features to be revealed before launch.








timeless. endless.: a player grading and leveling system as well as variable difficulty to encourage and reward replayability.
 
source: official tetris effect website. ",1,0,0,0,0,0,0,0,3,1
Scrabble,"become the great scrabble™ player you’ve always wanted to be! like never before, you can strengthen your vocabulary, pattern recognition, and point strategies through fun training exercises. you then can apply your new found skills in real games against your friends and family as well as our adaptable computer a.i.
ea ",0,0,0,0,0,0,0,0,0,0
Bomberman Tournament,"an s.o.s. from the cosmos signals that planet phantarion is in trouble! grab your arsenal and get ready for non-stop action as you blast your way through interactive battlefields and take on up to 4 real-time players.

battle opponents through 8 interactive battlefield mazes!
take on up to 4 players in multiplayer blastfests!
fast, furious, explosive bombing adventure!

 
source: game box ",0,0,0,0,0,0,0,0,0,0
Pixel Puzzles: Japan, ,0,0,0,0,0,0,0,0,0,0
RUSH, ,0,0,0,0,0,0,0,0,0,0
Stacking, ,0,0,0,0,0,0,0,0,0,0
Ms. Pac-Man: Maze Madness / Pac-Man World, ,0,0,0,0,0,0,0,0,0,0
Cradle of Rome,"welcome to the birth of the roman empire where players re-build the legendary city through over 100 addicting levels of puzzles. gather resources (wood, tools, gold, etc) by matching rows of 3 or more and obtain as many as you can before the time runs out. the more you gather, the faster you can build the city. start with a lowly saw mill and progress to gain access to historical monuments like the colisseum.  -d3publsiher.us  ",0,0,0,0,0,0,0,0,0,0
Energy Cycle, ,0,0,0,0,0,0,0,0,0,0
Scrabble (Others sales),"
become the great word wizard you've always wanted to be!
become the great scrabble player you’ve always wanted to be! like never        before, you can strengthen your vocabulary, pattern recognition, and        point strategies through fun and interactive training exercises. you        then can apply your newfound skills in real games against your friends        and family as well as our adaptable computer artificial intelligence.a        personal scrabble trainer in your hands

 six immersive exercises to hone your skills 
 track your progress every step of the way 
 three exciting game modes—classic, speed, and the new scrabble slam! 
 includes a complete merriam webster scrabble dictionary 
 the scrabble word finder finds the best word in any given situation 
 play with friends and family in single- or multi-cart play 
 six levels of computer artificial intelligence to help you raise your          level of competition 

nintendo ",0,0,0,0,0,0,0,0,0,0
Are You Smarter than a 5th Grader? Game Time, ,0,0,0,0,0,0,0,0,0,0
Angry Birds,"the survival of the angry birds is at stake! dish out revenge on the  green pigs who stole the birds’ eggs. use the unique destructive powers  of the angry birds to lay waste to the pigs’ fortified castles. angry  birds features hours of gameplay, challenging physics-based castle  demolition, and lots of replay value. use logic, skill, and brute force  to crush the enemy.
 
rovio entertainment ",0,0,0,0,0,0,0,0,0,0
Jewels of the Tropical Lost Island,"your adventure begun when you inherited your uncle’s old sailing ship - and his journal with it. the journal revealed his best-kept secret - your uncle was a pirate. you find out about the many treasures he’d taken while sailing together with the greatest pirate of all, bluebeard. these treasures - they remain hidden away in the caribbean. and they’re for the taking, if only you can find them… there is a world full of adventures ahead of you - you will meet real pirates, the spanish armada, and even fearsome sea monsters. and at the end of your quest awaits bluebeard’s most amazing secret, the legendary treasure of the maya. the road ahead will not be easy, however. you will need to overcome a lot of obstacles and unearth a great many clues to find your way. good luck!
game features:

unique, atmospheric treasure hunting in the tropical islands
four different game modes based on match three mechanics
109 involving levels – exciting duels against other sailing ships and sea monsters
beautiful graphics to recreate the exotic scenery of the caribbean
excellent, atmospheric music that perfectly matches the game
seven kinds of bonuses to make the game easier
16 special challenges for the most accomplished players

http://www.city-interactive.com/index.php?title=gamepage&m=523 ",0,0,0,0,0,0,0,0,0,0
Meteos,"meteos is an addicting, fast-paced puzzle game that makes heavy use of the touchscreen. blocks are falling into the screen and you better get rid of them fast. to do so you have to allign at least 3 blocks of the same colour which will then morph into a rocket and boost up all the other blocks that are stacked on it. you can only arrange the blocks vertically. to add to the challenge the 32 stages in the game have different levels of gravity, quite often you have to form additional rockets within a stack to have enough power to move the rocket out of the screen. it's even possible to make mega-rockets that carry all the blocks on the whole screen.the game features a story mode, time attack, training and a multiplayer mode that supports game-sharing.  ",5,0,0,0,0,0,0,0,0,1
Angry Birds: Star Wars,"
a long time ago in a galaxy far, far away! join an epic adventure with the angry birds in the legendary star wars™ universe! use the force, wield your lightsaber, and blast away pigtroopers on an intergalactic journey.

featuring:

hours and hours of engaging game playing! explore more than 200 levels in iconic locations like tatooine and the pig star.
new gameplay mechanics! use lightsabers, blasters and jedi powers to wreak havoc on the imperial pigs!
level up your birds! keep playing and level up your birds to improve their skills!

source: official site ",0,0,0,0,0,0,0,0,0,0
Me & My Katamari,"take the adventure on the road as the prince or one of his many cousins, rolling up objects in order to create islands for a bunch of homeless animals. enjoy fun and quirky gameplay, accompanied by a wonderfully varied soundtrack.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0
Tetris 2 (weekly jp sales),"everyone's favorite block-blasting puzzler returns in tetris 2 for the  game boy. this sequel to the world-famous tetris adds a few new wrinkles  to the classic formula. first and foremost is the addition of color to  the block-matching festivities. now you'll have to pay attention to the  color of the shapes as well as where you put them! your primary goal in  tetris 2 is to clear out the play area of the different colored flashing  ""bomb"" blocks. the game includes three different gameplay modes: normal  mode has you clearing out each stage with a never-ending supply of  blocks; in puzzle mode, you're challenged to clear out the stage with a  specific number of blocks; and there's also a head-to-head mode, where  you can play against a human or computer opponent in a battle to the  finish. tetris 2 is compatible with all game boy systems.
 
 
source: game's box ",0,1,0,0,0,0,0,0,4,1
Neopets Puzzle Adventure,"appealing to both casual gamers and neopets fans, neopets puzzle adventure is the only multi-platform puzzle adventure game based on the popular virtual community. for the neopets fan, neopets puzzle adventure is a must-have game with its intuitive “pick up and play” gameplay, new never-before-seen areas in the neopets universe to explore and the opportunity to redeem codes for exclusive virtual items at neopets.com.  the game board itself resembles a chess board, while the gameplay takes the principles of reversi and go, and adds new twists that take the adventure to unexpected levels. the goal is to turn all of the chips on the board to your neopet’s color.  neopets.com is a global community with an active virtual economy based on caring and rasing virtual pets, collecting neopoints, and taking part in daily and weekly creativity contests, discussion boards, quests and thousands of virtual items. it’s called the “stickiest site on the web,” with it’s tweener audience spending an average of three hours per week on the website. with an in-depth and exciting storyline based on the world of neopets, and an entire virtual world to explore, neopets puzzle adventure is the ultimate puzzle-adventure game for players everywhere.

neopets puzzle adventure will generate codes that can be redeemed for unique items on the neopets.com website
choose and customize one of 12 neopets to be your central character in the story
travel through three lands of neopia as you experience an epic story with more than 150 quests in the single-player game
“co-operative” and “head-to-head” multiplayer matches
collect 150 “petpets” for extra abilities and earn 30 special awards for completing missions
collect over 300 items, recipes and treasures, many of which can be equipped on your pet to provide useful bonuses 
 ",0,0,0,0,0,0,0,0,0,5
Contraption Maker, ,0,0,0,0,0,0,0,0,0,0
"Please, Don't Touch Anything", ,0,0,0,0,0,0,0,0,0,0
Scribblenauts Unmasked: A DC Comics Adventure,"in scribblenauts unmasked- a dc comics™ adventure, maxwell unites with batman™, superman™ and the rest of the justice league™ to restore order to the dc comics universe!
challenge your imagination as you battle the mightiest villains in an exciting and action-filled adventure through gotham city™, metropolis™, atlantis™ and other iconic locales from the dc comics universe.  enjoy endless replayability with new, dynamic puzzles that feature a different mission every time you play. 
bring out your inner super hero (or villain!) with the all-new hero creator by crafting completely original objects out of parts of existing dc comics characters. then assign unique properties to your creations and use them to solve puzzles, or share them online with friends – which they can use in game or further modify as they like.
official web page ",0,0,0,1,0,0,0,0,0,0
Tetris Attack,"tetris attack is a stacking puzzle game, developed by intelligent systems and published by nintendo,  which was released in 1996. ",0,0,0,0,0,0,0,0,1,1
NightSky,"nominated as a igf seamus mcnally finalist, nightsky is an ambient action-puzzle game that offers a gameplay experience unlike any other—cerebral challenges fill uniquely designed picturesque worlds. the player must maneuver a sphere by using realistic physics to advance; each of these worlds is broken into different areas. the original soundtrack by experimental jazz musician, chris schlarb will further heighten the surreal experience. ",0,0,0,0,0,0,0,0,0,0
Bacteria, ,0,0,0,0,0,0,0,0,0,0
